HRV.time;HRV.x;HRV.y;HRV.z
1573142380660;23.3271;58.7607;17.9122
1573142380910;24.9844;59.4845;15.5311
1573142381160;26.5120;59.4545;14.0335
1573142381410;27.9639;58.8953;13.1407
1573142381660;29.4814;57.9539;12.5647
1573142381910;31.0237;56.8074;12.1689
1573142382160;32.6153;55.5424;11.8423
1573142382410;34.1057;54.3435;11.5508
1573142382660;35.6637;53.0715;11.2648
1573142382910;37.2470;51.6881;11.0650
1573142383160;38.7672;50.2274;11.0054
1573142383410;40.2499;48.6625;11.0876
1573142383660;41.6891;47.0270;11.2839
1573142383910;43.0912;45.3775;11.5313
1573142384160;44.7599;43.3278;11.9123
1573142384410;46.2821;41.3669;12.3510
1573142384660;47.6996;39.5614;12.7390
1573142384910;48.8634;38.2471;12.8895
1573142385160;50.1012;37.1037;12.7952
1573142385410;51.4020;36.1090;12.4890
1573142385660;52.7634;35.2093;12.0273
1573142385910;54.1215;34.3879;11.4906
1573142386160;55.4436;33.6180;10.9384
1573142386410;56.6415;32.9332;10.4252
1573142386660;57.8318;32.2608;9.90740
1573142386910;59.0118;31.5907;9.39741
1573142387160;60.1855;30.9106;8.90384
1573142387410;61.4687;30.1162;8.41509
1573142387660;62.6632;29.2909;8.04590
1573142387910;63.7695;28.4342;7.79630
1573142388160;64.8033;27.5413;7.65538
1573142388410;65.7704;26.6237;7.60592
1573142388660;66.6868;25.6936;7.61966
1573142388910;67.5742;24.7595;7.66633
1573142389160;68.4435;23.8384;7.71810
1573142389410;69.3122;22.9302;7.75754
1573142389660;70.1797;22.0395;7.78088
1573142389910;71.0052;21.2146;7.78026
1573142390160;71.8333;20.4097;7.75693
1573142390410;72.6467;19.6253;7.72799
1573142390660;73.4277;18.8643;7.70795
1573142390910;74.3223;17.8260;7.85163
1573142391160;74.8134;16.9185;8.26805
1573142391410;74.9969;16.1669;8.83616
1573142391660;75.0008;15.5898;9.40932
1573142391910;74.9488;15.1941;9.85711
1573142392160;75.0660;15.0530;9.88097
1573142392410;75.4580;14.9461;9.59591
1573142392660;76.0800;14.8572;9.06281
1573142392910;76.8506;14.7646;8.38481
1573142393160;77.9290;14.6120;7.45902
1573142393410;78.7935;14.4281;6.77839
1573142393660;79.3870;14.2010;6.41192
1573142393910;79.7243;13.9341;6.34153
1573142394160;79.8713;13.6224;6.50627
1573142394410;79.8939;13.3115;6.79455
1573142394660;79.9048;13.0180;7.07720
1573142394910;79.9807;12.7538;7.26550
1573142395160;80.1496;12.5216;7.32885
1573142395410;80.3890;12.3596;7.25141
1573142395660;80.7617;12.1853;7.05299
1573142395910;81.2005;11.9913;6.80815
1573142396160;81.6372;11.7721;6.59071
1573142396410;82.0201;11.5268;6.45304
1573142396660;82.3270;11.2595;6.41357
1573142396910;82.5626;10.9793;6.45806
1573142397160;82.7520;10.6975;6.55053
1573142397410;82.9062;10.3522;6.74155
1573142397660;82.9260;10.0720;7.00202
1573142397910;82.8535;9.86856;7.27793
1573142398160;82.7210;9.74844;7.53055
1573142398410;82.5497;9.71439;7.73591
1573142398660;82.4556;9.73903;7.80542
1573142398910;82.4479;9.79734;7.75473
1573142399160;82.5101;9.88454;7.60531
1573142399410;82.6181;9.99368;7.38822
1573142399660;82.7302;10.1565;7.11337
1573142399910;82.7541;10.3500;6.89589
1573142400160;82.6858;10.5661;6.74813
1573142400410;82.5371;10.7981;6.66483
1573142400660;82.3304;11.0406;6.62902
1573142400910;82.0937;11.2882;6.61814
1573142401160;81.8507;11.5380;6.61138
1573142401410;81.5728;11.8146;6.61260
1573142401660;81.2728;12.0957;6.63152
1573142401910;80.9629;12.3769;6.66015
1573142402160;80.6512;12.6553;6.69345
1573142402410;80.3430;12.9278;6.72915
1573142402660;80.0410;13.1922;6.76686
1573142402910;79.7441;13.4478;6.80807
1573142403160;79.5377;13.6454;6.81691
1573142403410;79.4026;13.8206;6.77675
1573142403660;79.3243;13.9736;6.70207
1573142403910;79.2842;14.1043;6.61146
1573142404160;79.2635;14.2132;6.52332
1573142404410;79.2464;14.3014;6.45217
1573142404660;79.2221;14.3719;6.40599
1573142404910;79.1852;14.4279;6.38689
1573142405160;79.1361;14.4737;6.39018
1573142405410;79.0790;14.5135;6.40750
1573142405660;78.9699;14.5654;6.46468
1573142405910;78.7932;14.6337;6.57315
1573142406160;78.5690;14.7225;6.70858
1573142406410;78.3220;14.8348;6.84318
1573142406660;78.0759;14.9724;6.95172
1573142406910;77.8498;15.1346;7.01563
1573142407160;77.7217;15.2815;6.99679
1573142407410;77.6851;15.4292;6.88562
