STR.time;STR.data
1573142380660;20.0
1573142380726;20.0
1573142380793;20.0
1573142380860;20.0
1573142380926;20.0
1573142380993;20.0
1573142381060;20.0
1573142381126;20.0
1573142381193;20.0
1573142381260;20.0
1573142381326;20.0
1573142381393;20.0
1573142381460;20.0
1573142381526;20.0
1573142381593;20.0
1573142381660;20.0
1573142381726;20.0
1573142381793;20.0
1573142381860;20.0
1573142381926;20.0
1573142381993;20.0
1573142382060;20.0
1573142382126;20.0
1573142382193;20.0
1573142382260;20.0
1573142382326;20.0
1573142382393;20.0
1573142382460;20.0
1573142382526;20.0
1573142382593;20.0
1573142382660;20.0
1573142382726;20.0
1573142382793;20.0
1573142382860;20.0
1573142382926;20.0
1573142382993;20.0
1573142383060;20.0
1573142383126;20.0
1573142383193;20.0
1573142383260;20.0
1573142383326;20.0
1573142383393;20.0
1573142383460;20.0
1573142383526;20.0
1573142383593;20.0
1573142383660;20.0
1573142383726;20.0
1573142383793;20.0
1573142383860;20.0
1573142383926;20.0
1573142383993;20.0
1573142384060;20.0
1573142384126;20.0
1573142384193;20.0
1573142384260;20.0
1573142384326;20.0
1573142384393;20.0
1573142384460;20.0
1573142384526;20.0
1573142384593;20.0
1573142384660;20.0
1573142384726;20.0
1573142384793;20.0
1573142384860;20.0
1573142384926;20.0
1573142384993;20.0
1573142385060;20.0
1573142385126;20.0
1573142385193;20.0
1573142385260;20.0
1573142385326;20.0
1573142385393;20.0
1573142385460;20.0
1573142385526;20.0
1573142385593;20.0
1573142385660;20.0
1573142385726;20.0
1573142385793;20.0
1573142385860;20.0
1573142385926;20.0
1573142385993;20.0
1573142386060;20.0
1573142386126;20.0
1573142386193;20.0
1573142386260;20.0
1573142386326;20.0
1573142386393;20.0
1573142386460;20.0
1573142386526;20.0
1573142386593;20.0
1573142386660;20.0
1573142386726;20.0
1573142386793;20.0
1573142386860;20.0
1573142386926;24.080957
1573142386993;24.692682
1573142387060;25.231453
1573142387126;25.290958
1573142387193;25.191105
1573142387260;25.028748
1573142387326;24.784088
1573142387393;24.787937
1573142387460;24.979774
1573142387526;24.94939
1573142387593;24.933155
1573142387660;24.896164
1573142387726;24.905277
1573142387793;24.919333
1573142387860;24.945654
1573142387926;24.97174
1573142387993;24.982414
1573142388060;24.973885
1573142388126;24.9431
1573142388193;24.828596
1573142388260;24.568327
1573142388326;24.29314
1573142388393;23.97385
1573142388460;23.606627
1573142388526;23.187292
1573142388593;22.744434
1573142388660;22.232338
1573142388726;22.962112
1573142388793;22.222061
1573142388860;20.741959
1573142388926;20.741959
1573142388993;20.001907
1573142389060;19.261856
1573142389126;18.521805
1573142389193;19.261856
1573142389260;18.521805
1573142389326;18.521805
1573142389393;17.781754
1573142389460;17.781754
1573142389526;18.521805
1573142389593;18.521805
1573142389660;17.041702
1573142389726;15.5616
1573142389793;15.5616
1573142389860;15.5616
1573142389926;16.301651
1573142389993;17.781754
1573142390060;19.261856
1573142390126;18.521805
1573142390193;18.521805
1573142390260;19.261856
1573142390326;19.261856
1573142390393;20.001907
1573142390460;19.261856
1573142390526;18.521805
1573142390593;18.521805
1573142390660;20.000954
1573142390726;20.741005
1573142390793;21.481056
1573142390860;22.221107
1573142390926;21.481056
1573142390993;19.261856
1573142391060;17.781754
1573142391126;17.781754
1573142391193;18.521805
1573142391260;18.521805
1573142391326;18.521805
1573142391393;18.521805
1573142391460;19.261856
1573142391526;19.261856
1573142391593;18.521805
1573142391660;17.781754
1573142391726;18.521805
1573142391793;17.781754
1573142391860;17.781754
1573142391926;18.520851
1573142391993;20.000954
1573142392060;20.741005
1573142392126;22.221107
1573142392193;21.481056
1573142392260;21.481056
1573142392326;22.221107
1573142392393;21.481056
1573142392460;20.741005
1573142392526;22.221107
1573142392593;22.221107
1573142392660;22.961159
1573142392726;23.70121
1573142392793;23.70121
1573142392860;23.70121
1573142392926;22.962112
1573142392993;22.962112
1573142393060;22.222061
1573142393126;22.222061
1573142393193;22.962112
1573142393260;22.962112
1573142393326;22.962112
1573142393393;24.442215
1573142393460;25.922318
1573142393526;23.703117
1573142393593;23.703117
1573142393660;22.963066
1573142393726;22.963066
1573142393793;23.703117
1573142393860;23.703117
1573142393926;25.922318
1573142393993;25.922318
1573142394060;27.40242
1573142394126;27.40242
1573142394193;26.662369
1573142394260;27.40242
1573142394326;27.40242
1573142394393;27.40242
1573142394460;27.40242
1573142394526;29.62162
1573142394593;29.62162
1573142394660;31.100769
1573142394726;31.100769
1573142394793;31.100769
1573142394860;33.31997
1573142394926;31.839867
1573142394993;32.579918
1573142395060;32.579918
1573142395126;31.839867
1573142395193;33.319016
1573142395260;33.319016
1573142395326;33.319016
1573142395393;34.059067
1573142395460;34.059067
1573142395526;32.578964
1573142395593;33.319016
1573142395660;32.578964
1573142395726;32.578964
1573142395793;32.578964
1573142395860;31.838913
1573142395926;33.319016
1573142395993;33.319016
1573142396060;33.319016
1573142396126;34.059067
1573142396193;34.059067
1573142396260;34.799118
1573142396326;34.799118
1573142396393;34.059067
1573142396460;34.799118
1573142396526;37.01832
1573142396593;37.01832
1573142396660;37.01832
1573142396726;37.75837
1573142396793;37.75837
1573142396860;37.01832
1573142396926;36.278267
1573142396993;37.01832
1573142397060;37.01832
1573142397126;37.757416
1573142397193;37.757416
1573142397260;37.017365
1573142397326;37.757416
1573142397393;38.496513
1573142397460;38.496513
1573142397526;37.756462
1573142397593;38.49556
1573142397660;38.49556
1573142397726;38.49556
1573142397793;39.97471
1573142397860;40.71476
1573142397926;41.453857
1573142397993;41.453857
1573142398060;42.19391
1573142398126;42.93396
1573142398193;44.41311
1573142398260;46.63231
1573142398326;47.371407
1573142398393;48.111458
1573142398460;48.850555
1573142398526;48.850555
1573142398593;49.589653
1573142398660;51.0688
1573142398726;53.288002
1573142398793;52.54795
1573142398860;54.0271
1573142398926;54.026146
1573142398993;54.025192
1573142399060;53.28514
1573142399126;53.28514
1573142399193;52.546043
1573142399260;52.546043
1573142399326;52.546043
1573142399393;53.28514
1573142399460;53.286095
1573142399526;54.025192
1573142399593;54.026146
1573142399660;54.026146
1573142399726;53.286095
1573142399793;54.025192
1573142399860;54.76429
1573142399926;54.76429
1573142399993;56.982536
1573142400060;59.201736
1573142400126;59.940834
1573142400193;59.93988
1573142400260;60.678978
1573142400326;61.418076
1573142400393;61.418076
1573142400460;62.157173
1573142400526;62.897224
1573142400593;63.636322
1573142400660;64.37542
1573142400726;64.37542
1573142400793;65.85457
1573142400860;65.11452
1573142400926;65.85457
1573142400993;64.37542
1573142401060;64.37542
1573142401126;63.63537
1573142401193;64.37542
1573142401260;63.636322
1573142401326;63.63537
1573142401393;63.63537
1573142401460;63.63537
1573142401526;62.895317
1573142401593;62.894363
1573142401660;62.89341
1573142401726;62.15336
1573142401793;61.413307
1573142401860;61.41426
1573142401926;60.67421
1573142401993;61.413307
1573142402060;62.152405
1573142402126;62.891502
1573142402193;62.15145
1573142402260;62.150497
1573142402326;62.150497
1573142402393;62.149544
1573142402460;61.409492
1573142402526;62.88864
1573142402593;63.628693
1573142402660;63.628693
1573142402726;63.628693
1573142402793;63.628693
1573142402860;62.88864
1573142402926;62.14859
1573142402993;62.887688
1573142403060;62.147636
1573142403126;62.147636
1573142403193;63.626785
1573142403260;63.626785
1573142403326;63.626785
1573142403393;63.626785
1573142403460;63.626785
1573142403526;62.147636
1573142403593;61.407585
1573142403660;62.146683
1573142403726;62.88578
1573142403793;62.884827
1573142403860;62.144775
1573142403926;63.623924
1573142403993;63.62297
1573142404060;63.62297
1573142404126;63.62297
1573142404193;62.88292
1573142404260;62.88292
1573142404326;63.622017
1573142404393;62.881966
1573142404460;64.36016
1573142404526;65.83931
1573142404593;65.83931
1573142404660;65.83931
1573142404726;65.09926
1573142404793;65.10021
1573142404860;66.57841
1573142404926;65.838356
1573142404993;63.62011
1573142405060;63.62011
1573142405126;62.88006
1573142405193;62.14096
1573142405260;61.40091
1573142405326;59.92176
1573142405393;59.922714
1573142405460;57.704468
1573142405526;56.22532
1573142405593;54.74617
1573142405660;53.26702
1573142405726;53.26702
1573142405793;52.52697
1573142405860;51.787872
1573142405926;51.787872
1573142405993;53.266068
1573142406060;53.265114
1573142406126;53.265114
1573142406193;54.00421
1573142406260;54.74331
1573142406326;54.74331
1573142406393;54.003258
1573142406460;55.481453
1573142406526;55.481453
1573142406593;55.481453
1573142406660;55.481453
1573142406726;56.22055
1573142406793;55.481453
1573142406860;56.22055
1573142406926;55.481453
1573142406993;54.742355
1573142407060;54.003258
1573142407126;53.26416
1573142407193;51.78501
1573142407260;49.566765
1573142407326;48.827667
1573142407393;48.08857
1573142407460;45.870323
1573142407526;45.870323
1573142407593;45.131226
1573142407660;44.40214
1573142407726;44.032116
1573142407793;44.40214
1573142407860;44.40214
1573142407926;45.141716
1573142407993;45.511265
1573142408060;46.25084
1573142408126;46.990414
1573142408193;47.36044
1573142408260;47.359962
1573142408326;47.359962
1573142408393;48.09906
1573142408460;48.469086
1573142408526;48.099537
1573142408593;48.83911
1573142408660;49.209137
1573142408726;49.579163
1573142408793;49.94871
1573142408860;49.578686
1573142408926;49.209137
1573142408993;48.469563
1573142409060;48.100014
