STR.time;STR.data
1573142380661;20.0
1573142380727;20.0
1573142380794;20.0
1573142380861;20.0
1573142380927;20.0
1573142380994;20.0
1573142381061;20.0
1573142381127;20.0
1573142381194;20.0
1573142381261;20.0
1573142381327;20.0
1573142381394;20.0
1573142381461;20.0
1573142381527;20.0
1573142381594;20.0
1573142381661;20.0
1573142381727;20.0
1573142381794;20.0
1573142381861;20.0
1573142381927;20.0
1573142381994;20.0
1573142382061;20.0
1573142382127;20.0
1573142382194;20.0
1573142382261;20.0
1573142382327;20.0
1573142382394;20.0
1573142382461;20.0
1573142382527;20.0
1573142382594;20.0
1573142382661;20.0
1573142382727;20.0
1573142382794;20.0
1573142382861;20.0
1573142382927;20.0
1573142382994;20.0
1573142383061;20.0
1573142383127;20.0
1573142383194;20.0
1573142383261;20.0
1573142383327;20.0
1573142383394;20.0
1573142383461;20.0
1573142383527;20.0
1573142383594;20.0
1573142383661;20.0
1573142383727;20.0
1573142383794;20.0
1573142383861;20.0
1573142383927;20.0
1573142383994;20.0
1573142384061;20.0
1573142384127;20.0
1573142384194;20.0
1573142384261;20.0
1573142384327;20.0
1573142384394;20.0
1573142384461;20.0
1573142384527;20.0
1573142384594;20.0
1573142384661;20.0
1573142384727;20.0
1573142384794;20.0
1573142384861;20.0
1573142384927;20.0
1573142384994;20.0
1573142385061;20.0
1573142385127;20.0
1573142385194;20.0
1573142385261;20.0
1573142385327;20.0
1573142385394;20.0
1573142385461;20.0
1573142385527;20.0
1573142385594;20.0
1573142385661;20.0
1573142385727;20.0
1573142385794;20.0
1573142385861;20.0
1573142385927;20.0
1573142385994;20.0
1573142386061;20.0
1573142386127;20.0
1573142386194;20.0
1573142386261;20.0
1573142386327;20.0
1573142386394;20.0
1573142386461;20.0
1573142386527;20.0
1573142386594;20.0
1573142386661;20.0
1573142386727;20.0
1573142386794;20.0
1573142386861;20.0
1573142386927;20.0
1573142386994;20.0
1573142387061;20.0
1573142387127;20.0
1573142387194;20.0
1573142387261;20.0
1573142387327;20.0
1573142387394;20.0
1573142387461;20.0
1573142387527;20.0
1573142387594;20.0
1573142387661;20.0
1573142387727;20.0
1573142387794;20.0
1573142387861;20.0
1573142387927;20.0
1573142387994;20.0
1573142388061;20.0
1573142388127;20.0
1573142388194;20.0
1573142388261;20.0
1573142388327;27.393837
1573142388394;26.653786
1573142388461;25.914688
1573142388527;25.174637
1573142388594;24.434586
1573142388661;23.694534
1573142388727;22.215385
1573142388794;21.476288
1573142388861;22.21634
1573142388927;20.73719
1573142388994;21.477242
1573142389061;20.738144
1573142389127;19.998093
1573142389194;19.493855
1573142389261;19.519794
1573142389327;19.558704
1573142389394;19.597656
1573142389461;19.627949
1573142389527;19.65825
1573142389594;19.69287
1573142389661;19.727493
1573142389727;19.757778
1573142389794;19.77941
1573142389861;19.997139
1573142389927;21.476288
1573142389994;21.476288
1573142390061;22.21634
1573142390127;22.95639
1573142390194;24.43554
1573142390261;25.17559
1573142390327;24.43554
1573142390394;25.17559
