EDA.time;EDA.data
1573142380661;1.1560128
1573142380727;1.1560128
1573142380794;1.1573101
1573142380861;1.1573101
1573142380927;1.1586084
1573142380994;1.1599076
1573142381061;1.1599076
1573142381127;1.1573101
1573142381194;1.1586084
1573142381261;1.1560128
1573142381327;1.1573101
1573142381394;1.1560128
1573142381461;1.1560128
1573142381527;1.1560128
1573142381594;1.1547161
1573142381661;1.1547161
1573142381727;1.1534203
1573142381794;1.1534203
1573142381861;1.1521252
1573142381927;1.1521252
1573142381994;1.1521252
1573142382061;1.1508311
1573142382127;1.1508311
1573142382194;1.1521252
1573142382261;1.1508311
1573142382327;1.1508311
1573142382394;1.1495377
1573142382461;1.1495377
1573142382527;1.1469535
1573142382594;1.1482451
1573142382661;1.1482451
1573142382727;1.1482451
1573142382794;1.1469535
1573142382861;1.1469535
1573142382927;1.1469535
1573142382994;1.1469535
1573142383061;1.1469535
1573142383127;1.1443723
1573142383194;1.1443723
1573142383261;1.1443723
1573142383327;1.143083
1573142383394;1.1443723
1573142383461;1.1443723
1573142383527;1.1443723
1573142383594;1.143083
1573142383661;1.1443723
1573142383727;1.1443723
1573142383794;1.1417946
1573142383861;1.1417946
1573142383927;1.1417946
1573142383994;1.1405069
1573142384061;1.1405069
1573142384127;1.1417946
1573142384194;1.1417946
1573142384261;1.1405069
1573142384327;1.1405069
1573142384394;1.1405069
1573142384461;1.1417946
1573142384527;1.1405069
1573142384594;1.1405069
1573142384661;1.1405069
1573142384727;1.1417946
1573142384794;1.1405069
1573142384861;1.1417946
1573142384927;1.1405069
1573142384994;1.1417946
1573142385061;1.1405069
1573142385127;1.1417946
1573142385194;1.1405069
1573142385261;1.1405069
1573142385327;1.1405069
1573142385394;1.1443723
1573142385461;1.1443723
1573142385527;1.1443723
1573142385594;1.1443723
1573142385661;1.1456624
1573142385727;1.1456624
1573142385794;1.1456624
1573142385861;1.1469535
1573142385927;1.1469535
1573142385994;1.1469535
1573142386061;1.1469535
1573142386127;1.1469535
1573142386194;1.1482451
1573142386261;1.1495377
1573142386327;1.1508311
1573142386394;1.1508311
1573142386461;1.1508311
1573142386527;1.1508311
1573142386594;1.1521252
1573142386661;1.1521252
1573142386727;1.1521252
1573142386794;1.1508311
1573142386861;1.1521252
1573142386927;1.1521252
1573142386994;1.1521252
1573142387061;1.1508311
1573142387127;1.1508311
1573142387194;1.1521252
1573142387261;1.1521252
1573142387327;1.1521252
1573142387394;1.1508311
1573142387461;1.1508311
1573142387527;1.1508311
1573142387594;1.1495377
1573142387661;1.1482451
1573142387727;1.1495377
1573142387794;1.1482451
1573142387861;1.1482451
1573142387927;1.1482451
1573142387994;1.1482451
1573142388061;1.1482451
1573142388127;1.1495377
1573142388194;1.1495377
1573142388261;1.1508311
1573142388327;1.1482451
1573142388394;1.1508311
1573142388461;1.1508311
1573142388527;1.1521252
1573142388594;1.1508311
1573142388661;1.1521252
1573142388727;1.1521252
1573142388794;1.1521252
1573142388861;1.1521252
1573142388927;1.1521252
1573142388994;1.1534203
