EDA.time;EDA.data
1573142380660;1.0833849
1573142380726;1.0921658
1573142380793;1.0871435
1573142380860;1.0846369
1573142380926;1.0846369
1573142380993;1.0783843
1573142381060;1.0746418
1573142381126;1.0597415
1573142381193;1.0547991
1573142381260;1.0560335
1573142381326;1.0547991
1573142381393;1.0547991
1573142381460;1.0572687
1573142381526;1.0560335
1573142381593;1.0547991
1573142381660;1.0535654
1573142381726;1.0486381
1573142381793;1.0437229
1573142381860;1.0278314
1573142381926;1.0169033
1573142381993;1.014483
1573142382060;1.0132738
1573142382126;1.0108579
1573142382193;1.0096511
1573142382260;1.0096511
1573142382326;1.0120655
1573142382393;1.0156927
1573142382460;1.0181146
1573142382526;1.0339286
1573142382593;1.0449506
1573142382660;1.0437229
1573142382726;1.0486381
1573142382793;1.0461789
1573142382860;1.0449506
1573142382926;1.0523324
1573142382993;1.0560335
1573142383060;1.0535654
1573142383126;1.0498688
1573142383193;1.0474082
1573142383260;1.0523324
1573142383326;1.0511003
1573142383393;1.0498688
1573142383460;1.0486381
1573142383526;1.0486381
1573142383593;1.0486381
1573142383660;1.0241821
1573142383726;1.0229671
1573142383793;1.0181146
1573142383860;1.0036277
1573142383926;0.99762255
1573142383993;1.0290494
1573142384060;1.0634562
1573142384126;1.0833849
1573142384193;1.0846369
1573142384260;1.0871435
1573142384326;1.0984613
1573142384393;1.1073079
1573142384460;1.1136506
1573142384526;1.1136506
1573142384593;1.1085749
1573142384660;1.0821335
1573142384726;1.0684199
1573142384793;1.0560335
1573142384860;1.0363727
1573142384926;1.0072396
1573142384993;0.9940282
1573142385060;0.9785277
1573142385126;0.97023153
1573142385193;0.9952256
1573142385260;1.0412699
1573142385326;1.0833849
1573142385393;1.0646961
1573142385460;1.0108579
1573142385526;0.9073873
1573142385593;0.75766677
1573142385660;0.7821679
1573142385726;0.7972403
1573142385793;0.81461513
1573142385860;0.81570643
1573142385926;0.82336295
1573142385993;0.7940003
1573142386060;0.8026528
1573142386126;0.93623036
1573142386193;0.9773404
1573142386260;0.99044037
1573142386326;1.014483
1573142386393;0.94321674
1573142386460;0.8936937
1573142386526;0.9737828
1573142386593;0.9809045
1573142386660;0.9928315
1573142386726;0.9892459
1573142386793;0.9809045
1573142386860;0.97496796
1573142386926;0.97615385
1573142386993;0.9809045
1573142387060;0.9856667
1573142387126;0.9832842
1573142387193;0.9832842
1573142387260;0.9785277
1573142387326;0.9678676
1573142387393;0.9678676
1573142387460;0.97141457
1573142387526;0.97141457
1573142387593;0.9737828
1573142387660;0.97496796
1573142387726;0.97615385
1573142387793;0.97496796
1573142387860;0.97496796
1573142387926;0.97496796
1573142387993;0.9773404
1573142388060;0.97971576
1573142388126;0.97971576
1573142388193;0.9809045
1573142388260;0.9809045
1573142388326;0.982094
1573142388393;0.9809045
1573142388460;0.9832842
1573142388526;0.982094
1573142388593;0.9832842
1573142388660;0.9844751
1573142388726;0.9832842
1573142388793;0.9844751
1573142388860;0.9856667
1573142388926;0.982094
1573142388993;0.9785277
1573142389060;0.97615385
1573142389126;0.97496796
1573142389193;0.9737828
1573142389260;0.97496796
1573142389326;0.9785277
1573142389393;0.9809045
1573142389460;0.9832842
1573142389526;0.9892459
1573142389593;0.9916356
1573142389660;0.97615385
1573142389726;0.937393
1573142389793;0.90853286
1573142389860;0.8643541
1573142389926;0.8487399
1573142389993;0.849851
1573142390060;0.88122606
1573142390126;0.8857504
1573142390193;0.8420871
1573142390260;0.818984
1573142390326;0.77681416
1573142390393;0.7714757
1573142390460;0.7821679
1573142390526;0.7832405
1573142390593;0.8310505
1573142390660;0.83435476
1573142390726;0.8321513
1573142390793;0.80699396
1573142390860;0.7725422
1573142390926;0.74921954
1573142390993;0.74606174
1573142391060;0.7481664
1573142391126;0.7640274
1573142391193;0.79292154
1573142391260;0.81570643
1573142391326;0.80699396
1573142391393;0.7800246
1573142391460;0.75449455
1573142391526;0.73766714
1573142391593;0.7387144
1573142391660;0.73976225
1573142391726;0.74711376
1573142391793;0.7640274
1573142391860;0.78753704
1573142391926;0.82336295
1573142391993;0.82336295
1573142392060;0.7886127
1573142392126;0.7230676
1573142392193;0.66882616
1573142392260;0.67691106
1573142392326;0.6942114
1573142392393;0.74711376
1573142392460;0.7725422
1573142392526;0.71167713
1573142392593;0.6259781
1573142392660;0.6388252
1573142392726;0.67488647
1573142392793;0.76084435
1573142392860;0.75343835
1573142392926;0.7293104
1573142392993;0.71167713
1573142393060;0.6962576
1573142393126;0.71684587
1573142393193;0.76508963
1573142393260;0.74921954
1573142393326;0.70035684
1573142393393;0.7127097
1573142393460;0.75027335
1573142393526;0.7725422
1573142393593;0.7418597
1573142393660;0.71684587
1573142393726;0.7085828
1573142393793;0.7282685
1573142393860;0.7597845
1573142393926;0.7209914
1573142393993;0.6983061
1573142394060;0.70240986
1573142394126;0.70755255
1573142394193;0.7251462
1573142394260;0.7355744
1573142394326;0.73766714
1573142394393;0.7366205
1573142394460;0.70343727
1573142394526;0.66882616
1573142394593;0.66781807
1573142394660;0.670844
1573142394726;0.66077715
1573142394793;0.6698348
1573142394860;0.67792416
1573142394926;0.6921676
1573142394993;0.7313961
1573142395060;0.7450103
1573142395126;0.74606174
1573142395193;0.7366205
1573142395260;0.7044652
1573142395326;0.6698348
1573142395393;0.66077715
1573142395460;0.6728641
1573142395526;0.6819824
1573142395593;0.68401486
1573142395660;0.69523424
1573142395726;0.7096137
1573142395793;0.70138305
1573142395860;0.6921676
1573142395926;0.68910605
1573142395993;0.67995214
1573142396060;0.67893785
1573142396126;0.6880867
1573142396193;0.7241066
1573142396260;0.7387144
1573142396326;0.75872535
1573142396393;0.7566087
1573142396460;0.7230676
1573142396526;0.60249966
1573142396593;0.51620024
1573142396660;0.5264094
1573142396726;0.55078
1573142396793;0.5841293
1573142396860;0.673875
1573142396926;0.7619048
1573142396993;0.8026528
1573142397060;0.7907659
1573142397126;0.7672159
1573142397193;0.71581095
1573142397260;0.6668106
1573142397326;0.6063914
1573142397393;0.60249966
1573142397460;0.60347176
1573142397526;0.6102916
1573142397593;0.6181177
1573142397660;0.6240097
1573142397726;0.64379084
1573142397793;0.67589843
1573142397860;0.7450103
1573142397926;0.7853876
1573142397993;0.786462
1573142398060;0.7907659
1573142398126;0.7832405
1573142398193;0.7366205
1573142398260;0.70138305
1573142398326;0.6728641
1573142398393;0.64777327
1573142398460;0.61322236
1573142398526;0.5688057
1573142398593;0.5764509
1573142398660;0.57836735
1573142398726;0.58124596
1573142398793;0.60931575
1573142398860;0.6338731
1573142398926;0.66379136
1573142398993;0.67589843
1573142399060;0.6819824
1573142399126;0.71374285
1573142399193;0.75766677
1573142399260;0.827752
1573142399326;0.8321513
1573142399393;0.85987985
1573142399460;0.85541606
1573142399526;0.8632345
1573142399593;0.8677166
1573142399660;0.8520751
1573142399726;0.85764664
1573142399793;0.8299504
1573142399860;0.7704098
1573142399926;0.7261864
1573142399993;0.7251462
1573142400060;0.7220292
1573142400126;0.6718538
1573142400193;0.673875
1573142400260;0.67792416
1573142400326;0.6819824
1573142400393;0.6962576
1573142400460;0.7209914
1573142400526;0.7736093
1573142400593;0.8004859
1573142400660;0.84651977
1573142400726;0.85987985
1573142400793;0.8722092
1573142400860;0.87108505
1573142400926;0.8789679
1573142400993;0.88122606
1573142401060;0.86996156
1573142401126;0.818984
1573142401193;0.76934457
1573142401260;0.75132775
1573142401326;0.7853876
1573142401393;0.8200778
1573142401460;0.75766677
1573142401526;0.79292154
1573142401593;0.8059077
1573142401660;0.7821679
1573142401726;0.77681416
1573142401793;0.774677
1573142401860;0.76084435
1573142401926;0.71684587
1573142401993;0.76934457
1573142402060;0.7994034
1573142402126;0.83545744
1573142402193;0.84762955
1573142402260;0.8587629
1573142402326;0.85541606
1573142402393;0.8387694
1573142402460;0.76615244
1573142402526;0.71581095
1573142402593;0.6880867
1573142402660;0.66379136
