HR.time;HR.data
1573142381531;68.181816
1573142382324;75.94936
1573142383109;78.26087
1573142384033;62.283737
1573142384897;75.63025
1573142385737;74.07407
1573142386465;80.0
1573142387251;70.588234
1573142388207;70.03891
1573142389099;70.588234
1573142389805;74.380165
1573142391051;51.136364
1573142392268;95.74468
1573142393116;68.181816
1573142394115;63.380283
1573142395454;86.124405
1573142397335;64.63196
1573142398693;85.51069
1573142399551;70.03891
1573142401500;63.94316
1573142403080;76.59574
1573142404625;76.43312
1573142405501;64.98195
1573142407053;77.586205
1573142407857;75.94936
1573142408724;65.21739
1573142409594;69.76744
1573142410439;74.380165
1573142412220;73.61963
1573142413001;65.454544
1573142413822;70.3125
1573142414658;75.0
1573142415447;72.289154
1573142416269;74.6888
1573142417167;72.58064
1573142417906;76.27119
1573142418652;75.313805
1573142419592;76.59574
1573142420257;77.25322
1573142421054;71.42857
1573142421913;81.44797
1573142422625;73.46939
1573142424308;70.17544
1573142425104;77.25322
1573142426658;76.75906
1573142428423;68.57143
1573142430810;75.10431
1573142431670;71.14625
1573142432450;75.63025
1573142433435;62.5
1573142434995;77.08779
1573142435785;79.64602
1573142436624;67.92453
1573142437477;68.965515
1573142438223;80.0
1573142439108;69.23077
1573142439931;73.17073
1573142440747;71.14625
1573142443093;77.032814
1573142444077;61.643837
1573142445748;74.534164
1573142446544;71.14625
1573142447557;71.71315
1573142448220;72.8745
1573142449106;65.21739
1573142449928;71.71315
1573142450704;77.92208
1573142451733;61.643837
1573142452661;74.07407
1573142454254;70.72691
1573142455062;73.77049
1573142455864;72.0
1573142456719;73.17073
1573142457480;72.8745
1573142458313;71.42857
1573142459159;72.58064
1573142459976;72.58064
1573142460830;71.71315
1573142461616;74.6888
1573142462505;70.03891
1573142463247;78.26087
1573142464052;73.17073
1573142464963;71.71315
1573142465756;75.63025
1573142466605;70.03891
1573142467424;70.3125
1573142468317;67.41573
1573142469103;75.313805
1573142470054;70.03891
1573142470822;70.86614
1573142471589;75.313805
1573142472492;72.8745
1573142473378;73.17073
1573142474152;71.42857
1573142474975;70.86614
1573142475844;70.86614
1573142476647;69.49807
1573142477457;73.77049
1573142478303;71.71315
1573142479141;72.8745
1573142479979;69.49807
1573142480954;69.49807
1573142481807;66.17647
1573142482608;72.0
1573142483558;66.42066
1573142484393;71.71315
1573142486119;69.76744
1573142487709;73.17073
1573142488625;69.23077
1573142489418;69.76744
1573142490285;69.49807
1573142491132;73.77049
1573142492012;66.666664
1573142492771;75.94936
1573142493639;69.76744
1573142494586;69.23077
1573142495421;69.49807
1573142496323;69.23077
1573142497067;72.0
1573142497969;67.41573
1573142498783;72.58064
1573142500501;71.42857
1573142501415;67.16418
1573142502255;68.44106
1573142503093;70.588234
1573142504523;42.755344
1573142505772;50.847458
1573142506564;72.0
1573142507417;69.76744
1573142509174;68.57143
1573142509978;70.3125
1573142510777;75.0
1573142512612;65.69343
1573142513473;69.76744
1573142514287;75.63025
1573142516921;68.78981
1573142517839;69.76744
1573142518715;64.28571
1573142519559;69.23077
1573142520395;70.3125
1573142521342;67.92453
1573142522204;66.9145
1573142523064;70.86614
1573142523901;67.669174
1573142524818;65.93407
1573142526584;68.965515
1573142527381;75.94936
1573142528315;65.69343
1573142529092;71.42857
1573142530067;64.28571
1573142530995;70.03891
1573142531782;72.0
1573142532642;65.93407
1573142533483;72.0
1573142534448;61.85567
1573142535354;73.17073
1573142536172;67.92453
1573142537019;70.03891
1573142537892;67.41573
1573142538774;68.70229
1573142539616;70.588234
1573142540532;69.23077
1573142541403;67.16418
1573142542945;39.91131
1573142543822;66.9145
1573142544694;65.454544
1573142548165;70.10711
1573142549026;75.63025
1573142549784;79.64602
1573142551292;67.41573
1573142551636;70.588234
1573142552343;70.86614
1573142553230;70.86614
1573142554028;69.49807
1573142555158;69.76744
1573142556232;71.14625
1573142556693;67.92453
1573142557623;62.068966
1573142558627;66.17647
1573142559742;61.22449
1573142561803;61.01695
1573142562091;67.669174
1573142563528;60.402683
1573142564391;65.69343
1573142565498;67.16418
1573142565945;62.71777
1573142566737;65.93407
1573142567147;65.69343
1573142567839;68.181816
1573142568654;66.17647
1573142569626;65.454544
1573142570521;66.9145
1573142571394;67.92453
1573142572243;67.669174
1573142573164;68.44106
1573142574029;66.666664
1573142574977;66.17647
1573142575855;67.16418
1573142576711;66.42066
1573142577575;71.42857
1573142578527;66.17647
1573142579406;67.41573
1573142580243;68.181816
1573142581109;69.76744
1573142581991;67.669174
1573142582975;68.965515
1573142583771;69.76744
1573142584632;68.965515
1573142585472;67.92453
1573142586348;69.23077
1573142587215;68.965515
1573142588141;69.76744
1573142588989;67.92453
1573142589853;68.181816
1573142590713;68.70229
1573142591578;68.965515
1573142592549;68.181816
1573142593397;69.76744
1573142594203;68.965515
1573142595061;68.965515
1573142595915;69.76744
1573142596789;69.76744
1573142597681;69.76744
1573142598488;71.42857
