tempr.peak_time;tempr.peak_dat;tempr.rise_time;tempr.max_deriv;tempr.amplitude;tempr.max_deriv2
1573142418004;28.7355;10000;0.00844706;0.0541477;0.00140577
1573142431671;28.8255;13667;0.00851262;0.0900059;0.000594031
1573142455004;29.0981;23333;0.0183078;0.272579;0.00127195
1573142469671;29.3507;14667;0.0193890;0.252632;0.000391208
1573142477671;29.4977;8000;0.0199327;0.146984;0.000480173
1573142499337;29.9391;21666;0.0248017;0.441360;0.00106821
1573142508004;30.0671;8667;0.0165762;0.128002;9.85128e-05
1573142520337;30.2132;12333;0.0153686;0.146147;0.000310695
1573142536004;30.3579;15667;0.0112311;0.144627;0.000444829
1573142573337;30.9859;37333;0.0229626;0.628077;0.00211719
1573142581671;31.0871;8334;0.0128137;0.101156;4.41581e-05
1573142605671;31.3982;24000;0.0149869;0.311119;0.000273059
1573142618337;31.5658;12666;0.0141627;0.167625;0.000354193
1573142628004;31.7126;9667;0.0164875;0.146751;0.000460612
1573142666004;32.2479;38000;0.0172254;0.535351;0.000181652
1573142687004;32.4357;21000;0.0119218;0.187740;0.000961930
1573142708337;32.6515;21333;0.0117590;0.215836;0.000101477
1573142718004;32.7401;9667;0.0110895;0.0885620;0.000589980
1573142723004;32.7862;5000;0.00955601;0.0461655;1.79194e-05
1573142728004;32.8300;5000;0.00906063;0.0438004;1.79194e-05
1573142731004;32.8556;3000;0.00855944;0.0255737;1.77080e-05
1573142755004;33.0295;24000;0.0105944;0.173840;0.000460018
1573142774004;33.0774;19000;0.00467676;0.0479355;0.000326635
1573142779004;33.0786;5000;0.000428108;0.00119400;1.10486e-05
1573142783004;33.0783;4000;1.97442e-05;-0.000324249;3.61448e-05
1573142786671;33.0785;3667;0.000257172;0.000217438;3.61448e-05
1573142795671;33.0759;9000;4.89657e-05;-0.00256348;8.23315e-05
1573142798671;33.0760;3000;0.000106680;7.62939e-05;3.74607e-05
1573142805004;33.0722;6333;-5.14460e-05;-0.00376129;3.53242e-06
1573142811337;33.0671;6333;3.45259e-05;-0.00516129;0.000672483
1573142820004;33.0832;8667;0.00346968;0.0161438;0.000713367
1573142834671;33.0140;14667;-0.000312743;-0.0692253;3.29175e-05
1573142843671;32.9832;9000;-0.00131002;-0.0308304;4.96314e-07
1573142857004;32.9367;13333;-0.00131002;-0.0465050;6.91698e-05
1573142868004;32.8869;11000;-0.00188922;-0.0497589;5.74538e-05
1573142881004;32.8493;13000;7.35750e-05;-0.0376320;0.000414854
1573142883004;32.8495;2000;7.35750e-05;0.000259399;0.000414854
1573142883671;32.8497;667;-4.76698e-05;0.000137329;4.50514e-05
1573142896004;32.8430;12333;-0.000146617;-0.00669098;1.17348e-05
1573142904671;32.8391;8667;3.40285e-05;-0.00390244;0.000227292
1573142912671;32.8465;8000;0.00144625;0.00743103;0.000254209
1573142930004;32.8853;17333;0.00485314;0.0387878;0.000534583
1573142946337;32.9358;16333;0.00686683;0.0504646;0.000869596
1573142955671;32.9834;9334;0.00683062;0.0476418;0.000722651
1573142962671;33.0209;7000;0.00635394;0.0374908;0.000193782
1573142972337;33.0837;9666;0.00765590;0.0627899;0.000473019
1573142990337;33.2148;18000;0.00914241;0.131119;0.000352409
1573143004671;33.3130;14334;0.00896014;0.0981750;0.000253812
1573143018337;33.4046;13666;0.00928116;0.0915833;0.000194437
1573143026004;33.4440;7667;0.00685970;0.0394402;0.000332949
1573143035671;33.4997;9667;0.00757933;0.0557480;0.000634387
1573143044004;33.5391;8333;0.00633709;0.0393982;2.01752e-05
1573143052004;33.5659;8000;0.00532438;0.0267944;0.000478294
1573143061671;33.5449;9667;-0.000223060;-0.0210304;2.67598e-05
1573143072671;33.5360;11000;-0.000307516;-0.00886154;1.48525e-05
1573143081004;33.5290;8333;7.90145e-06;-0.00702667;0.000190851
1573143084004;33.5293;3000;6.52331e-05;0.000267029;0.000190851
1573143092004;33.5240;8000;0.000126892;-0.00529480;0.000270485
1573143096671;33.5257;4667;0.000184085;0.00166702;0.000270485
1573143098004;33.5261;1333;7.19425e-08;0.000450134;-4.59324e-05
