motif_frequency,power
1877.000000,2.526031
3764.000000,3.233886
3257.000000,3.944489
3056.000000,3.620523
2935.000000,3.334123
2840.000000,3.400559
2725.000000,3.621016
3412.000000,4.751824
3360.000000,4.301125
2962.000000,3.840949
2951.000000,3.376709
2854.000000,3.196713
3276.000000,4.684084
3295.000000,4.352200
3215.000000,4.331706
2924.000000,3.718811
2858.000000,3.223160
3358.000000,4.547695
3196.000000,4.072010
2966.000000,3.437147
3266.000000,4.003374
3156.000000,3.334222
2896.000000,2.711249
2892.000000,2.495415
2594.000000,2.767540
2484.000000,3.455589
3267.000000,2.850849
2848.000000,1.956526
2773.000000,1.146925
2749.000000,1.527065
2496.000000,2.492254
3150.000000,2.199676
2907.000000,1.046113
2574.000000,0.725679
2390.000000,1.332392
2244.000000,3.063437
2580.000000,1.953477
2530.000000,1.324671
2532.000000,4.182313
2559.000000,2.419895
2505.000000,1.859812
2474.000000,2.382261
2517.000000,3.409176
2522.000000,4.090042
3325.000000,4.377118
2986.000000,5.239233
2671.000000,3.604252
2503.000000,2.834872
2497.000000,3.468315
2564.000000,4.772605
4080.000000,5.241546
3760.000000,6.510018
3211.000000,5.122705
2671.000000,4.352316
4256.000000,4.721509
4351.000000,5.457248
4089.000000,5.183999
3767.000000,4.989008
4539.000000,3.873128
4436.000000,3.649385
4280.000000,4.344544
3435.000000,4.912200
2400.000000,4.651672
2527.000000,4.015213
2513.000000,3.700313
4568.000000,3.312334
4558.000000,3.276409
4368.000000,4.591632
3197.000000,4.127790
2506.000000,3.805281
2508.000000,3.448921
4578.000000,3.564627
4540.000000,4.726807
4370.000000,4.969056
3059.000000,3.002207
2553.000000,2.671621
4494.000000,4.186580
4401.000000,6.349069
4237.000000,4.202057
2662.000000,2.387717
4496.000000,4.480057
4266.000000,5.443454
3594.000000,2.633100
2533.000000,2.098974
2501.000000,2.345653
2497.000000,2.938445
2545.000000,3.476434
4317.000000,3.890646
2377.000000,2.110556
2613.000000,1.472227
2740.000000,2.017268
2653.000000,3.029459
4396.000000,2.504559
3094.000000,1.505740
2889.000000,1.836915
2891.000000,3.080481
3855.000000,2.104298
3261.000000,2.448852
3080.000000,3.172193
2482.000000,3.950676
3584.000000,6.611938
3034.000000,7.415294
2938.000000,6.875715
2829.000000,6.203322
2745.000000,5.915403
2622.000000,5.943763
3445.000000,8.443801
3342.000000,8.005282
3053.000000,7.291794
2906.000000,6.316857
2779.000000,5.690730
3357.000000,8.490589
3318.000000,8.114918
3308.000000,8.049336
2975.000000,7.084665
2883.000000,6.119249
3155.000000,8.082809
3027.000000,7.540310
2978.000000,6.622780
3181.000000,6.997630
2969.000000,6.421486
2873.000000,5.654760
2259.000000,5.086580
2549.000000,5.171357
2317.000000,5.787153
3319.000000,5.450789
2910.000000,4.701419
2579.000000,3.699790
2530.000000,3.941431
2311.000000,4.869771
3026.000000,4.621068
2567.000000,3.409712
2253.000000,3.103500
2326.000000,3.701429
2278.000000,5.208733
2259.000000,4.201135
2316.000000,3.648335
2145.000000,6.049356
2282.000000,4.470450
2287.000000,4.055098
2307.000000,4.731848
2317.000000,5.783167
2338.000000,6.328700
3644.000000,6.209657
2977.000000,6.660632
2481.000000,5.315747
2285.000000,4.946357
2305.000000,5.833386
2376.000000,7.096623
4352.000000,6.888297
4250.000000,7.737894
3197.000000,6.735461
2481.000000,6.449502
4586.000000,6.462583
4301.000000,7.016918
4066.000000,7.137669
3561.000000,7.166260
4437.000000,5.930013
4601.000000,5.802495
4353.000000,6.501138
3485.000000,7.068837
2201.000000,6.899839
2325.000000,6.463637
2291.000000,5.857428
4713.000000,5.558650
4625.000000,5.455286
4192.000000,6.419600
2897.000000,6.139668
2302.000000,6.009735
2306.000000,5.582979
4568.000000,5.664197
4592.000000,6.246415
4341.000000,6.410084
2345.000000,4.920346
2309.000000,4.696283
4570.000000,6.035246
4398.000000,7.381942
3868.000000,5.510718
2350.000000,4.211974
4574.000000,6.146017
4382.000000,6.567872
2448.000000,4.264984
2317.000000,4.046586
2296.000000,4.369636
2276.000000,5.048882
2403.000000,5.703131
3615.000000,5.358645
2317.000000,4.011549
2098.000000,3.497751
2523.000000,4.239781
2566.000000,5.341198
3523.000000,4.478527
2650.000000,3.868059
2851.000000,4.440892
2852.000000,5.837631
3466.000000,4.701640
3177.000000,5.515946
2887.000000,6.279985
2203.000000,6.104316
3492.000000,0.299208
3114.000000,0.866069
2855.000000,0.527211
2579.000000,0.459040
2488.000000,0.469949
2295.000000,0.602212
3201.000000,4.541058
3204.000000,1.432259
2904.000000,0.648649
2584.000000,0.549147
2338.000000,0.346819
3210.000000,6.989490
3024.000000,2.286454
3214.000000,0.966269
2832.000000,0.531109
2485.000000,0.278069
3396.000000,3.318317
3022.000000,0.318679
2841.000000,0.157816
3393.000000,0.268204
3123.000000,0.011545
2853.000000,-0.233191
2517.000000,-0.255053
2368.000000,-0.001172
2059.000000,0.593888
3288.000000,0.234261
3182.000000,-0.524185
2508.000000,-1.193428
2294.000000,-0.837554
2176.000000,-0.057271
4301.000000,0.161713
2976.000000,-0.930788
2318.000000,-1.489943
2210.000000,-0.959600
4633.000000,0.970892
2416.000000,-0.045757
2276.000000,-0.809074
4354.000000,2.237139
2511.000000,0.849908
2276.000000,0.247672
2276.000000,0.544499
2209.000000,1.055465
2209.000000,1.252181
4823.000000,2.171415
3815.000000,3.922375
2411.000000,2.626680
2251.000000,1.997482
2276.000000,2.148477
2318.000000,3.472581
4725.000000,3.507996
3873.000000,5.688405
2309.000000,4.495982
2318.000000,3.993699
4283.000000,3.581152
3702.000000,5.895008
2522.000000,5.825665
2408.000000,5.025354
4702.000000,2.609530
4290.000000,4.099281
4040.000000,5.196815
2939.000000,4.817706
1961.000000,3.257310
2209.000000,1.939465
2209.000000,0.777077
4946.000000,1.873833
4746.000000,3.546487
4018.000000,5.838949
2417.000000,4.527309
2285.000000,2.711993
2209.000000,1.016179
4752.000000,2.040156
4541.000000,4.695206
3695.000000,5.730613
2324.000000,3.138151
2317.000000,2.030657
4833.000000,2.751731
4218.000000,6.156701
3270.000000,4.448215
2297.000000,1.246232
4788.000000,3.080271
4445.000000,4.499248
3124.000000,1.680797
2315.000000,-0.477006
2209.000000,-0.577985
2208.000000,0.007088
2231.000000,0.396951
4503.000000,2.626575
2538.000000,0.054139
2280.000000,-1.278105
2263.000000,-0.972485
2338.000000,0.121549
4556.000000,0.449017
2974.000000,-0.519072
2545.000000,-0.849885
2491.000000,0.047210
3603.000000,0.207454
2786.000000,-0.141591
2844.000000,0.089065
2170.000000,0.804116
3398.000000,0.177132
2879.000000,0.492996
2737.000000,0.548176
2358.000000,0.474465
2182.000000,0.517930
1996.000000,0.729291
3032.000000,1.061312
2946.000000,0.667225
2682.000000,0.685203
2576.000000,0.583209
2300.000000,0.328953
3114.000000,1.034834
2932.000000,0.929017
2961.000000,0.891285
2732.000000,0.602089
2569.000000,0.368774
3114.000000,0.787289
2955.000000,0.499406
2907.000000,0.311627
3272.000000,0.502487
2932.000000,0.160447
2826.000000,-0.103051
2181.000000,-0.164802
2154.000000,-0.046349
2102.000000,0.440700
3304.000000,0.197245
2907.000000,-0.523270
2430.000000,-1.066029
2264.000000,-0.804808
2102.000000,-0.162591
3388.000000,-0.045523
2624.000000,-1.094029
2263.000000,-1.491686
2099.000000,-1.018415
2933.000000,0.532730
2074.000000,-0.475625
2128.000000,-0.953814
2097.000000,2.024672
2111.000000,0.751945
2111.000000,0.293471
2111.000000,0.540902
2108.000000,0.924818
2108.000000,1.105134
4460.000000,2.176375
2285.000000,4.204735
2174.000000,3.016133
2171.000000,2.317510
2111.000000,2.324012
2172.000000,3.818099
4466.000000,3.775958
2515.000000,6.134292
2172.000000,5.013018
2172.000000,4.453606
4395.000000,4.007025
3005.000000,6.351310
2285.000000,6.168936
2285.000000,5.325302
4511.000000,3.048413
4501.000000,4.235446
4361.000000,5.263175
3404.000000,5.186161
2174.000000,3.665757
2111.000000,1.944798
2108.000000,0.787829
5040.000000,2.348777
4752.000000,3.628253
4143.000000,6.302044
2450.000000,5.220554
2172.000000,3.214278
2111.000000,1.205090
4979.000000,2.814905
4761.000000,5.479634
4154.000000,6.690385
2775.000000,3.728241
2172.000000,1.433036
4908.000000,3.729404
4432.000000,7.200480
4250.000000,5.476947
2656.000000,1.853050
4784.000000,4.013948
4431.000000,5.582443
3860.000000,1.999701
2174.000000,-0.447802
2111.000000,-0.419655
2107.000000,0.098874
2043.000000,0.358693
4600.000000,2.778794
4168.000000,-0.659194
2082.000000,-1.446310
2080.000000,-0.837726
2182.000000,0.111453
4826.000000,-0.346624
3220.000000,-1.131571
2459.000000,-1.007162
2493.000000,0.059019
3959.000000,-0.528527
2960.000000,-0.342783
2737.000000,0.398507
2097.000000,0.635430
3592.000000,1.566469
