EDA.time;EDA.data
1573142085686;5.048773
1573142085752;4.918435
1573142085819;5.0145693
1573142085886;4.9470315
1573142085952;5.3333335
1573142086019;4.908949
1573142086086;4.7693486
1573142086152;5.1531653
1573142086219;4.8292294
1573142086286;5.5382247
1573142086352;5.009707
1573142086419;4.9518175
1573142086486;5.3438706
1573142086552;4.630203
1573142086619;4.1511564
1573142086686;4.7876754
1573142086752;5.053683
1573142086819;4.8385243
1573142086886;4.5776753
1573142086952;4.4494815
1573142087019;4.913689
1573142087086;5.073384
1573142087152;4.105027
1573142087219;4.2571807
1573142087286;4.6790004
1573142087352;5.2242856
1573142087419;4.483238
1573142087486;4.6611834
1573142087552;4.573331
1573142087619;4.806089
1573142087686;4.5258694
1573142087752;3.0107746
1573142087819;5.7303205
1573142087886;5.8002086
1573142087952;5.823755
1573142088019;5.736102
1573142088086;5.521682
1573142088152;1.6727703
1573142088219;1.4655983
1573142088286;4.197891
1573142088352;5.1431065
1573142088419;1.2816538
1573142088486;4.0973973
1573142088552;4.293228
1573142088619;3.7911646
1573142088686;4.82459
1573142088752;4.560327
1573142088819;4.84318
1573142088886;4.582025
1573142088952;4.139568
1573142089019;4.120337
1573142089086;4.249219
1573142089152;5.1936536
1573142089219;4.7556605
1573142089286;4.4285383
1573142089352;4.68794
1573142089419;4.193973
1573142089486;4.4077134
1573142089552;4.6611834
1573142089619;4.6346135
1573142089686;4.918435
1573142089752;5.3650255
1573142089819;2.9890287
1573142089886;3.6544876
1573142089952;4.0746055
1573142090019;4.2571807
1573142090086;4.8014774
1573142090152;4.5951037
1573142090219;5.239688
1573142090286;5.0684495
1573142090352;4.5258694
1573142090419;4.7556605
1573142090486;4.723909
1573142090552;4.6924176
1573142090619;5.4615717
1573142090686;4.225438
1573142090752;3.9812028
1573142090819;4.2531977
1573142090886;4.3870053
1573142090952;4.479002
1573142091019;4.5344543
1573142091086;4.573331
1573142091152;5.4887886
1573142091219;5.0882235
1573142091286;4.345937
1573142091352;4.5258694
1573142091419;4.5344543
1573142091486;4.696901
1573142091552;5.456149
1573142091619;4.5994735
1573142091686;4.568991
1573142091752;4.082186
1573142091819;4.696901
1573142091886;4.714885
1573142091952;4.411869
1573142092019;5.133072
1573142092086;4.923187
1573142092152;4.6478753
1573142092219;4.6611834
1573142092286;4.710381
1573142092352;4.710381
1573142092419;5.4778805
1573142092486;2.1854866
1573142092552;2.1512663
1573142092619;2.8231595
1573142092686;4.3174605
1573142092752;4.6082277
1573142092819;5.0389705
1573142092886;5.5052032
1573142092952;5.3969607
1573142093019;4.732954
1573142093086;4.573331
1573142093152;4.3134103
1573142093219;4.4285383
1573142093286;4.538754
1573142093352;4.3994164
1573142093419;5.128064
1573142093486;4.796871
1573142093552;4.9951553
1573142093619;4.6790004
1573142093686;4.66563
1573142093752;5.0882235
1573142093819;5.1031175
1573142093886;4.6834674
1573142093952;4.3377776
1573142094019;4.483238
1573142094086;4.7556605
1573142094152;4.139568
1573142094219;5.4507337
1573142094286;5.5603824
1573142094352;5.0048504
1573142094419;4.9806566
1573142094486;4.8994856
1573142094552;4.8759265
1573142094619;4.84318
1573142094686;4.8525085
1573142094752;5.286245
1573142094819;1.3445542
1573142094886;4.0406923
1573142094952;4.3541136
1573142095019;4.603848
1573142095086;4.806089
1573142095152;5.4724374
1573142095219;4.5344543
1573142095286;4.22149
1573142095352;4.810706
1573142095419;4.293228
1573142095486;4.10121
1573142095552;4.2972555
1573142095619;4.630203
1573142095686;5.3018813
1573142095752;4.2412744
1573142095819;3.9996846
1573142095886;4.3952746
1573142095952;4.4285383
1573142096019;5.0635214
1573142096086;1.1443723
1573142096152;4.285187
1573142096219;4.193973
1573142096286;4.9806566
1573142096352;1.4701009
1573142096419;3.7841969
1573142096486;3.9812028
1573142096552;4.4536843
1573142096619;4.8994856
1573142096686;4.8014774
1573142096752;3.9010358
1573142096819;4.483238
1573142096886;4.269157
1573142096952;4.193973
1573142097019;4.551683
1573142097086;4.9470315
1573142097152;5.286245
1573142097219;4.82459
1573142097286;4.1550274
1573142097352;4.4747705
1573142097419;4.696901
1573142097486;5.2242856
1573142097552;4.504493
1573142097619;3.281703
1573142097686;4.067041
1573142097752;4.3541136
1573142097819;5.1834936
1573142097886;4.3377776
1573142097952;4.3377776
1573142098019;4.197891
1573142098086;4.8385243
1573142098152;4.7058825
1573142098219;4.66563
1573142098286;4.029461
1573142098352;4.289205
1573142098419;5.260315
1573142098486;4.457892
1573142098552;4.0369444
1573142098619;4.4369016
1573142098686;4.2731576
1573142098752;4.197891
1573142098819;4.350023
1573142098886;4.4663215
1573142098952;4.513029
1573142099019;4.5258694
1573142099086;4.5258694
