HR.time;HR.data
1573142086113;48.913044
1573142087561;78.0911
1573142088429;70.588234
1573142089414;71.14625
1573142090237;60.402683
1573142091170;66.9145
1573142092477;90.45226
1573142093184;86.95652
1573142093862;82.56881
1573142094815;69.23077
1573142095648;67.41573
1573142096397;90.90909
1573142097229;70.588234
1573142097806;92.30769
1573142098890;56.074768
1573142100800;62.608696
1573142102639;64.63196
1573142103577;70.3125
1573142104942;84.50704
1573142105798;66.666664
1573142108647;63.30598
1573142110573;62.176167
1573142111626;59.40594
1573142113093;80.53691
1573142114358;48.780487
1573142115991;73.46939
1573142116974;59.210526
1573142117756;76.92308
1573142119335;75.94936
1573142120890;79.29515
1573142122176;45.22613
1573142123422;48.0
1573142127269;63.716816
1573142128481;48.0
1573142129548;56.42633
1573142131055;76.92308
1573142134658;67.101585
1573142135395;80.35714
1573142136575;50.5618
1573142138767;54.79452
1573142139770;59.60265
1573142143590;64.34316
1573142144390;73.77049
1573142145429;54.21687
1573142146818;44.444443
1573142148907;58.34684
1573142150641;65.93407
1573142152002;46.511627
1573142154183;53.892216
1573142155297;53.097343
1573142156523;48.648647
1573142158030;40.723984
1573142160602;70.77326
1573142163391;63.905327
1573142164440;57.507988
1573142166040;38.96104
1573142168126;55.555557
1573142170936;66.502464
1573142172569;35.294117
1573142174632;56.962025
1573142176656;59.50413
1573142178027;45.801525
1573142178918;62.93706
1573142179994;58.82353
1573142182161;54.054054
1573142183276;55.555557
1573142184382;56.603775
1573142185344;57.507988
1573142187199;67.54221
1573142188396;51.136364
1573142189669;49.18033
1573142191039;42.65403
1573142191849;65.21739
1573142192614;77.586205
1573142193927;47.745358
1573142194887;59.210526
1573142196087;53.731342
1573142197005;61.01695
1573142198028;62.283737
1573142199579;75.63025
1573142200305;82.56881
1573142201321;56.42633
1573142202674;45.11278
1573142203871;50.27933
1573142205862;59.900166
1573142208163;53.254436
1573142210640;50.9915
1573142211801;70.588234
1573142214159;68.527916
1573142214881;68.70229
1573142216182;50.847458
1573142217236;53.892216
1573142218642;39.56044
1573142220190;44.334976
1573142221666;79.29515
1573142222396;73.17073
1573142223551;50.847458
1573142224910;45.34005
1573142226116;55.384617
1573142228516;73.46939
1573142230056;77.25322
1573142231040;91.83673
1573142232633;59.1133
1573142233806;67.41573
1573142234587;52.785923
1573142235777;49.04632
1573142236523;45.801525
1573142237585;54.380665
1573142238860;45.34005
1573142240053;55.214725
1573142241637;70.450096
1573142242754;55.384617
1573142243857;56.603775
1573142245025;48.257374
1573142246156;52.32558
1573142247512;45.34005
1573142248478;68.181816
1573142249420;56.782333
1573142251652;60.402683
1573142252989;42.45283
1573142254206;50.704224
1573142255346;50.139275
1573142256949;38.793102
1573142258431;40.54054
1573142259056;72.8745
1573142260440;45.11278
1573142261793;44.226044
1573142262684;71.42857
1573142265479;62.427746
1573142266537;69.49807
1573142267236;70.588234
1573142271468;71.09005
1573142272642;54.054054
1573142273436;65.69343
1573142274489;66.666664
1573142276216;67.92453
1573142278040;69.49807
1573142278640;76.27119
1573142280629;64.28571
1573142282602;58.34684
1573142283625;62.068966
1573142284920;46.632126
1573142286692;63.49206
1573142287729;73.77049
1573142289387;73.17073
1573142290433;69.76744
1573142291442;45.801525
1573142293050;73.319756
1573142295991;62.7907
1573142297803;44.665012
1573142298688;47.12042
1573142302384;58.315334
1573142303691;39.04555
1573142304587;45.11278
1573142305795;48.913044
1573142306968;51.724136
1573142308827;60.81081
1573142309985;57.507988
1573142311486;43.68932
1573142313022;50.27933
1573142315070;51.42857
1573142316595;48.257374
1573142317786;49.586777
1573142320271;38.87689
1573142322237;68.965515
1573142323061;39.56044
1573142325492;70.588234
1573142327042;63.49206
1573142328734;66.584465
1573142329671;62.283737
1573142330635;43.47826
1573142331837;62.71777
1573142333285;77.08779
1573142333819;90.90909
1573142335060;100.0
1573142335868;57.692307
1573142337015;48.51752
1573142338162;49.45055
1573142339008;79.29515
1573142340991;54.711246
1573142342426;39.82301
1573142343458;56.782333
1573142344704;55.384617
1573142345828;59.210526
1573142346354;78.947365
1573142348072;73.022316
1573142348662;79.29515
1573142350616;70.86614
1573142351437;64.98195
1573142352469;80.0
1573142355804;82.493126
1573142358239;74.17583
1573142360992;54.380665
1573142361435;84.11215
1573142362235;54.21687
1573142364454;61.43345
1573142365435;78.26087
1573142366239;57.32484
1573142366861;89.77556
1573142368564;70.72691
1573142369726;52.478134
1573142370881;51.28205
1573142371989;58.44156
1573142373687;67.79661
1573142374821;54.878048
1573142375614;72.0
1573142378710;78.0065
1573142379784;55.04587
1573142381494;70.72691
1573142382298;74.380165
1573142383791;79.4702
1573142385082;47.244095
1573142386603;77.75378
1573142387620;62.71777
1573142388778;51.136364
1573142390808;59.50413
1573142392001;49.45055
1573142393324;45.569622
1573142394514;49.04632
1573142398064;67.79661
1573142399976;62.283737
1573142401269;46.99739
1573142403335;57.6
1573142404878;78.77462
1573142407932;59.471367
1573142408883;63.157894
1573142410020;52.02312
1573142411007;59.40594
1573142413196;83.72093
1573142415379;81.3253
1573142416598;49.18033
1573142421209;66.07929
1573142422424;49.18033
1573142423324;67.92453
1573142424013;84.11215
1573142425277;45.454544
1573142427924;68.44106
1573142429765;64.40072
1573142431048;47.244095
1573142432942;63.60424
1573142434017;58.44156
1573142434753;76.27119
1573142435522;81.08108
1573142436435;67.92453
1573142437571;52.173912
1573142438342;75.94936
1573142439473;51.42857
1573142441329;65.09946
1573142442116;76.92308
1573142444539;74.17583
1573142445359;73.46939
1573142446471;55.214725
1573142447404;62.5
1573142448387;64.51613
1573142449840;79.4702
1573142451164;47.87234
1573142451989;71.14625
1573142452675;81.818184
1573142453309;93.26425
1573142454174;70.588234
1573142454992;72.58064
1573142457243;80.838326
1573142458720;79.64602
1573142459927;50.0
1573142461011;55.04587
1573142462282;48.0
1573142463637;44.88778
1573142466840;75.39267
1573142467674;67.92453
1573142468583;66.9145
1573142470771;83.59133
1573142471524;75.0
1573142473642;87.23748
1573142474517;65.454544
1573142475829;92.07161
1573142476964;53.254436
1573142477647;86.124405
1573142478533;66.666664
1573142480082;78.43137
1573142481661;75.63025
1573142482800;52.63158
1573142483782;60.81081
1573142485031;48.257374
1573142486302;94.24084
1573142487079;77.586205
1573142488728;72.289154
1573142490995;80.35714
1573142492416;86.95652
1573142493859;80.53691
1573142494538;86.53846
1573142495193;103.44827
1573142496649;79.4702
1573142498452;67.16418
1573142499327;67.41573
1573142502834;68.50619
1573142503758;66.9145
1573142505358;73.61963
1573142506593;48.257374
1573142508450;66.17647
1573142509979;76.92308
1573142511609;76.92308
1573142513130;76.59574
1573142514131;57.877815
1573142515231;59.40594
1573142516751;75.789474
1573142517440;84.50704
1573142519921;74.07407
1573142521377;80.35714
1573142522593;48.913044
1573142524000;44.554455
1573142525067;53.412464
1573142525793;82.94931
1573142527473;71.14625
1573142529154;72.0
1573142530474;45.918365
1573142532887;75.313805
1573142534065;51.42857
1573142536099;58.34684
1573142537354;47.12042
1573142538639;46.153847
1573142539750;54.054054
1573142540965;49.315067
1573142542840;67.92453
1573142544982;53.731342
1573142545786;74.380165
1573142546503;83.72093
1573142547290;78.947365
1573142548014;91.37056
1573142548977;57.692307
1573142550116;54.380665
1573142552068;60.81081
1573142552920;67.16418
1573142555946;60.674156
1573142557056;51.42857
1573142558048;64.28571
1573142558883;70.03891
1573142559974;55.04587
1573142561010;56.42633
1573142561839;71.42857
1573142562860;67.41573
1573142563758;60.81081
1573142567380;65.51411
1573142568637;47.61905
1573142570087;85.91885
1573142571256;51.28205
1573142572490;47.61905
1573142573821;44.88778
1573142575294;41.666668
1573142576194;64.28571
1573142578476;80.35714
1573142581837;70.79646
1573142582629;76.92308
1573142584076;48.780487
1573142587157;55.32787
1573142588040;70.3125
1573142589013;56.782333
1573142590167;52.02312
1573142591444;46.99739
1573142592681;50.5618
1573142593860;48.913044
1573142595365;47.745358
1573142596450;45.918365
1573142597671;47.87234
1573142598954;46.391754
1573142600271;45.801525
1573142601620;46.511627
1573142602848;46.391754
1573142604153;46.875
1573142605348;49.72376
1573142606572;49.586777
1573142607772;49.18033
1573142609619;66.666664
1573142610816;49.861496
1573142612022;50.0
1573142612712;85.71429
1573142613804;53.097343
1573142615096;46.875
1573142616432;47.244095
1573142617663;49.18033
1573142618400;80.71749
1573142619643;48.12834
1573142620706;53.097343
1573142623134;75.0
1573142624330;50.42017
1573142625469;51.28205
1573142626619;51.724136
1573142627762;52.941177
1573142629114;91.37056
1573142629666;109.09091
1573142630271;92.78351
1573142630836;111.111115
1573142631343;114.64968
1573142632033;93.26425
1573142633071;55.90062
1573142634401;96.25668
1573142634848;113.20755
1573142635650;75.0
1573142636817;51.724136
1573142637785;59.800663
1573142638846;59.40594
1573142639888;56.25
1573142640873;60.20067
1573142641799;66.666664
1573142642561;76.92308
1573142643619;59.60265
1573142644543;65.93407
1573142646849;77.032814
1573142648006;54.21687
1573142649619;73.022316
1573142651234;73.17073
1573142652306;59.210526
1573142653418;52.02312
1573142654451;56.603775
1573142655659;50.847458
1573142656793;54.878048
1573142657779;56.074768
1573142658832;57.877815
1573142660510;73.17073
1573142661629;55.90062
1573142662800;51.8732
1573142663856;103.44827
1573142664431;107.14286
1573142665684;93.50649
1573142666402;100.55866
1573142666885;111.80124
1573142667407;108.43374
1573142668526;52.478134
1573142669736;99.72299
1573142670481;111.111115
1573142670863;111.80124
1573142671429;96.25668
1573142672547;54.054054
1573142673457;65.93407
1573142676210;87.16707
1573142676913;85.71429
1573142677662;90.45226
1573142678194;99.44752
1573142679461;96.0
1573142681979;72.8745
1573142683083;51.136364
1573142684308;50.0
1573142685403;54.878048
1573142686377;63.157894
1573142687089;80.0
1573142688813;70.588234
1573142689688;72.8745
1573142690493;73.77049
1573142691073;92.30769
1573142691753;89.10891
1573142694250;71.80851
1573142695379;51.8732
1573142696077;89.55224
1573142696878;75.94936
1573142698548;71.71315
1573142699634;56.074768
1573142700375;83.333336
1573142702401;87.80488
1573142703430;57.32484
1573142704581;51.724136
1573142705723;52.785923
1573142706879;52.63158
1573142707628;85.71429
1573142708577;60.0
1573142709744;50.27933
1573142711376;74.07407
1573142712433;56.25
1573142713827;86.53846
1573142717655;79.5053
1573142719023;84.90566
1573142719681;90.45226
1573142721065;86.95652
1573142723089;59.30807
1573142726078;61.08597
1573142728403;77.92208
1573142729752;46.753246
1573142732577;71.240105
1573142733187;62.5
1573142734853;71.856285
1573142738071;76.190475
1573142738899;64.51613
1573142740074;58.631924
1573142740925;66.17647
1573142742478;38.793102
1573142745691;54.655872
1573142746885;50.847458
1573142748110;49.45055
1573142751587;51.724136
1573142753347;67.79661
1573142754698;42.959427
1573142756042;45.68528
1573142758036;61.32879
1573142759237;48.51752
1573142760453;48.257374
1573142761738;46.632126
1573142763122;44.334976
1573142764481;42.857143
1573142766609;56.692913
1573142767622;63.82979
1573142770284;66.17647
1573142771436;51.724136
1573142772790;45.68528
1573142774060;46.272495
1573142777281;55.61277
1573142778396;56.42633
1573142779909;38.37953
1573142782410;73.56948
1573142783324;61.85567
1573142784486;53.097343
1573142786798;77.92208
1573142787744;62.71777
1573142788798;60.81081
1573142791487;64.67066
1573142792772;49.315067
1573142793743;58.82353
1573142795935;55.727554
1573142800155;56.074768
1573142801387;49.315067
1573142802637;48.648647
1573142803844;49.45055
1573142805180;45.34005
1573142806503;45.11278
1573142808139;73.022316
1573142811265;58.44156
1573142813623;51.42857
1573142814545;62.068966
1573142815853;44.77612
1573142817375;41.860466
1573142818563;47.244095
1573142819988;43.47826
1573142822173;60.301506
1573142823326;45.918365
1573142824580;45.34005
1573142826598;61.22449
1573142827730;50.704224
1573142829064;44.334976
1573142829848;77.25322
1573142830636;75.313805
1573142832977;77.3639
1573142835285;54.380665
1573142837435;53.333332
1573142839251;66.42066
1573142840038;78.60262
1573142841341;44.665012
1573142842390;60.60606
1573142844065;35.856575
1573142844902;66.9145
1573142846177;47.244095
1573142848069;64.28571
1573142849400;44.88778
1573142851199;69.23077
1573142853750;68.78981
1573142855043;45.918365
1573142856343;48.0
1573142858801;73.17073
1573142859528;80.71749
1573142860453;65.21739
1573142861748;45.34005
1573142863693;61.85567
1573142864551;69.49807
1573142865650;57.142857
1573142867326;71.71315
1573142868976;70.86614
1573142870180;49.315067
1573142871131;65.21739
1573142872081;62.93706
1573142874519;72.77628
1573142876911;76.056335
1573142878090;51.724136
1573142879323;48.0
1573142880518;49.72376
1573142881672;53.097343
1573142882826;54.878048
1573142883911;52.173912
1573142885210;48.51752
1573142886374;50.0
1573142887704;45.68528
1573142888880;49.315067
1573142890163;46.511627
1573142890896;87.37864
1573142892028;54.878048
1573142893199;49.586777
1573142894398;49.72376
1573142895723;88.66995
1573142896905;50.847458
1573142898160;94.48819
1573142898860;92.78351
1573142899432;95.2381
1573142900074;95.2381
1573142901293;48.780487
1573142902036;90.0
1573142902544;102.27273
1573142903233;98.9011
1573142903759;102.27273
1573142904415;93.75
1573142905023;93.75
1573142905687;101.1236
1573142906251;97.297295
1573142906936;97.82609
1573142907587;93.75
1573142908136;93.75
1573142908857;86.53846
1573142910057;98.09264
1573142910778;93.75
1573142911376;87.80488
1573142912628;97.560974
1573142913269;97.82609
1573142914036;75.63025
1573142915118;54.878048
1573142916167;56.25
1573142916857;91.37056
1573142917416;102.85714
1573142918097;90.0
1573142919265;50.847458
1573142920653;86.33093
1573142921252;101.1236
1573142921977;90.45226
1573142922562;93.26425
1573142923801;96.0
1573142924393;113.20755
1573142924967;96.25668
1573142925647;95.74468
1573142926207;110.42945
1573142927132;62.5
1573142928011;67.669174
1573142929148;52.941177
1573142929956;76.59574
1573142931276;92.07161
1573142932582;91.37056
1573142933307;75.313805
1573142935051;68.70229
1573142935850;76.27119
1573142937141;49.861496
1573142938457;90.45226
1573142939316;63.82979
1573142940450;55.90062
1573142941387;59.60265
1573142942358;63.60424
1573142943562;50.847458
1573142944656;53.412464
1573142945993;49.315067
1573142946993;53.412464
1573142947928;67.669174
1573142949274;88.01956
1573142951036;67.79661
1573142952131;53.412464
1573142953228;59.800663
1573142956053;61.573547
1573142959457;71.07601
1573142961032;75.471695
1573142962020;62.283737
1573142963734;69.36416
1573142964762;62.283737
1573142965684;65.93407
1573142966553;63.60424
1573142968085;80.0
1573142968873;75.0
1573142972112;73.694984
1573142972918;75.63025
1573142974174;47.12042
1573142975348;51.42857
1573142976251;66.9145
1573142977926;74.84408
1573142979163;45.68528
1573142982490;54.878048
1573142983714;47.745358
1573142984969;49.861496
1573142986151;48.780487
1573142987859;69.63249
1573142989232;45.68528
1573142990412;51.28205
1573142991643;47.87234
1573142992808;50.847458
1573142993590;76.92308
1573142994973;84.309135
1573142995657;91.37056
1573142996888;47.61905
1573142997732;74.07407
1573143000720;81.26411
1573143001423;78.947365
1573143002472;59.40594
1573143003699;47.745358
1573143005286;75.313805
1573143006080;84.11215
1573143007259;49.04632
1573143008441;53.254436
1573143011695;71.71315
1573143012865;52.02312
1573143013694;70.86614
1573143015804;57.507988
1573143016730;67.92453
1573143018434;68.83365
1573143020440;61.01695
1573143022896;71.618034
1573143025875;60.470325
1573143027569;37.3444
1573143028347;71.42857
1573143029204;77.92208
1573143030950;65.09946
1573143032571;73.022316
1573143036349;64.458374
1573143038433;58.34684
1573143039542;52.478134
1573143040750;50.9915
1573143042050;46.035805
1573143043200;53.254436
1573143044928;66.79035
1573143046187;47.244095
1573143048034;66.79035
1573143049280;46.875
1573143050485;49.45055
1573143051755;46.875
1573143053662;65.21739
1573143054835;50.42017
1573143056644;64.98195
1573143058015;46.035805
1573143059304;43.90244
1573143060181;69.23077
1573143061286;54.711246
1573143062681;42.857143
1573143063961;56.782333
1573143065047;45.68528
1573143066357;47.12042
1573143067705;43.373493
1573143070507;65.375305
1573143073673;56.485355
1573143075680;59.40594
1573143077006;45.68528
1573143079522;71.240105
1573143082837;73.24517
1573143084005;52.32558
1573143085228;47.61905
1573143086684;40.816326
1573143088075;42.857143
1573143089412;44.665012
1573143091318;63.268894
1573143092859;39.215687
1573143095499;68.44106
1573143096875;43.68932
1573143098901;60.60606
1573143100192;44.00978
1573143101442;48.0
1573143102834;44.665012
1573143104144;44.665012
1573143105471;44.554455
1573143106737;48.12834
1573143108155;42.154568
1573143109572;44.444443
1573143111217;71.71315
1573143113020;65.09946
1573143114372;47.36842
1573143115088;75.313805
1573143116422;47.12042
1573143117137;82.19178
