tempr.peak_time;tempr.peak_dat;tempr.rise_time;tempr.max_deriv;tempr.amplitude;tempr.max_deriv2
1573142779692;25.3788;1000;1.55734e-06;0.000595093;7.54619e-05
1573142800358;25.3993;20666;0.00218939;0.0204487;0.000294154
1573142813692;25.4042;13334;0.000691963;0.00493622;9.01063e-05
1573142814358;25.4043;666;1.67387e-05;0.000106812;6.01822e-06
1573142814358;25.4043;0;1.67387e-05;0.00000;6.01822e-06
1573142823692;25.4078;9334;0.000635205;0.00350189;8.46077e-05
1573142827358;25.4074;3666;5.67227e-05;-0.000442505;0.000303076
1573142840692;25.4263;13334;0.00208350;0.0189152;0.000362071
1573142841692;25.4267;1000;8.39305e-05;0.000398636;0.000136563
1573142854692;25.4409;13000;0.00192484;0.0142326;0.000260676
1573142858692;25.4402;4000;6.68089e-05;-0.000751495;0.000136270
1573142867025;25.4424;8333;0.000513953;0.00219727;0.000136270
1573142874358;25.4438;7333;0.000377056;0.00140572;5.46358e-05
1573142875692;25.4438;1334;3.04795e-06;7.05719e-05;6.19970e-05
1573142881692;25.4454;6000;0.000523481;0.00156593;6.19970e-05
1573142885358;25.4449;3666;4.76187e-05;-0.000459671;0.000118431
1573142900692;25.4652;15334;0.00251125;0.0202694;0.000270760
1573142909692;25.4842;9000;0.00280827;0.0189857;0.000161067
1573142930025;25.5299;20333;0.00535665;0.0457516;0.000543618
1573142937358;25.5333;7333;0.000778301;0.00335884;4.62463e-05
1573142948358;25.5181;11000;0.000194515;-0.0151939;0.000485567
1573142954025;25.5232;5667;0.000878443;0.00503922;0.000485567
1573142967692;25.5297;13667;0.00109294;0.00654221;4.94905e-06
1573142970358;25.5296;2666;5.84552e-06;-6.29425e-05;5.11935e-05
1573142983358;25.5344;13000;0.000961625;0.00476456;9.25539e-05
1573142985692;25.5346;2334;0.000244160;0.000196457;0.000459044
1573142991692;25.5448;6000;0.00314708;0.0102043;0.000463368
1573142995025;25.5436;3333;0.000105156;-0.00118828;0.000630251
1573143000692;25.5538;5667;0.00344082;0.0101738;0.000642547
1573143007025;25.5410;6333;0.000146070;-0.0128078;0.000575176
1573143015025;25.5458;8000;0.000971669;0.00482750;0.000575176
1573143015358;25.5458;333;0.000100659;-1.14441e-05;5.81700e-05
1573143017692;25.5465;2334;0.000219914;0.000665665;0.000555308
1573143038358;25.5728;20666;0.00420788;0.0263119;0.000655344
1573143049025;25.5794;10667;0.00120879;0.00664139;0.000127891
1573143049692;25.5796;667;2.95443e-05;0.000183105;0.000103060
1573143056358;25.5867;6666;0.00184481;0.00709724;0.000246418
1573143069025;25.6164;12667;0.00511588;0.0296726;0.000650775
1573143074358;25.6225;5333;0.00152728;0.00613594;0.000113680
1573143085025;25.6407;10667;0.00284632;0.0182095;0.000243741
1573143089358;25.6366;4333;3.94184e-05;-0.00415039;0.000624156
1573143094025;25.6434;4667;0.00321606;0.00679398;0.000624156
1573143107025;25.6148;13000;3.62580e-05;-0.0285835;0.000134744
1573143126025;25.6218;19000;0.000708453;0.00704384;0.000134744
1573143132358;25.6195;6333;0.000189105;-0.00234795;0.000476225
1573143149692;25.6511;17334;0.00344824;0.0316143;0.000503949
1573143162025;25.6136;12333;-0.000281505;-0.0375175;0.000155856
1573143169025;25.6083;7000;8.14329e-05;-0.00528717;8.10403e-05
1573143171025;25.6078;2000;0.000201150;-0.000425339;8.10403e-05
1573143180692;25.6008;9667;0.000146367;-0.00707245;0.000365546
1573143186025;25.6055;5333;0.00172636;0.00470543;0.000372815
1573143190025;25.6038;4000;0.000442016;-0.00168228;0.000641609
1573143197692;25.6190;7667;0.00356820;0.0152035;0.000696888
1573143206692;25.6135;9000;0.000495504;-0.00554848;0.000915533
1573143212358;25.6282;5666;0.00483439;0.0147343;0.000915533
1573143222025;25.6129;9667;4.83541e-05;-0.0152569;0.000318025
1573143229358;25.6165;7333;0.000629289;0.00358772;0.000274987
1573143255692;25.6603;26334;0.00333526;0.0438232;0.000335677
1573143270692;25.7028;15000;0.00610255;0.0424232;0.000688656
1573143280692;25.7461;10000;0.00715612;0.0433254;0.000870268
1573143295692;25.8190;15000;0.00732313;0.0729523;0.000812894
1573143301025;25.8080;5333;0.000685159;-0.0110111;0.00125971
1573143308025;25.8312;7000;0.00467802;0.0231609;0.00125971
1573143324358;25.8901;16333;0.00697340;0.0588589;0.000761327
1573143335692;25.9231;11334;0.00528547;0.0330315;0.000611359
1573143350025;25.9611;14333;0.00305526;0.0379734;0.000231647
1573143363692;26.0097;13667;0.00593208;0.0486259;0.000506561
1573143376692;26.0536;13000;0.00624542;0.0439644;0.000696185
1573143381025;26.0608;4333;0.00203286;0.00715065;5.42945e-05
1573143394025;26.0972;13000;0.00453952;0.0364017;0.000557183
1573143408692;26.1375;14667;0.00520461;0.0403366;0.000537791
1573143413025;26.1368;4333;4.86125e-05;-0.000690460;0.000105998
1573143430692;26.1667;17667;0.00462502;0.0298996;0.000568928
1573143442358;26.1830;11666;0.00269858;0.0162621;0.000368605
1573143460358;26.2254;18000;0.00464508;0.0424118;0.000573710
1573143477025;26.2701;16667;0.00472543;0.0446339;0.000505052
1573143493025;26.3113;16000;0.00506441;0.0412731;0.000515668
1573143506692;26.3578;13667;0.00788168;0.0464783;0.00113387
1573143512025;26.3678;5333;0.00220251;0.00998878;0.000133620
1573143524358;26.3846;12333;0.00197307;0.0168362;4.37293e-06
1573143535025;26.3716;10667;0.000484745;-0.0130062;0.000672320
1573143539692;26.3780;4667;0.00287002;0.00635529;0.000672320
1573143545358;26.3694;5666;0.000107346;-0.00854301;0.000966820
1573143558692;26.3998;13334;0.00462992;0.0303173;0.000966820
1573143579692;26.4484;21000;0.00764894;0.0486374;0.00104624
1573143583358;26.4480;3666;0.000142842;-0.000385284;0.000265263
1573143592692;26.4580;9334;0.00151137;0.0100212;0.000302215
1573143598692;26.4489;6000;0.000414813;-0.00912857;0.000900691
1573143606025;26.4617;7333;0.00286669;0.0127926;0.000900691
1573143625358;26.4862;19333;0.00358126;0.0245228;0.000430859
1573143642358;26.5069;17000;0.00317764;0.0207329;0.000410518
