tempr.peak_time;tempr.peak_dat;tempr.rise_time;tempr.max_deriv;tempr.amplitude;tempr.max_deriv2
1573142096732;20.8333;1667;0.000255592;0.00201225;0.00252881
1573142114732;21.0474;18000;0.0250119;0.214111;0.00385701
1573142117065;21.0467;2333;0.000159101;-0.000783920;-0.000185272
1573142120065;21.0474;3000;0.000159101;0.000741959;-0.000185272
1573142126732;21.0124;6667;0.00150141;-0.0349903;0.00274063
1573142131732;21.0361;5000;0.00929361;0.0237293;0.00274063
1573142138065;21.0050;6333;0.000539426;-0.0310936;0.000928676
1573142140398;21.0051;2333;0.00110229;8.77380e-05;0.000928676
1573142144398;20.9969;4000;0.000584995;-0.00824928;0.00210212
1573142149732;21.0259;5334;0.0109722;0.0290356;0.00210212
1573142154398;21.0063;4666;0.000340552;-0.0196495;0.00251127
1573142168065;21.0512;13667;0.00759266;0.0449543;0.00251127
1573142170398;21.0514;2333;0.000501170;0.000123978;0.00123831
1573142185398;21.1740;15000;0.0124661;0.122618;0.00147602
1573142191732;21.1475;6334;0.000127595;-0.0264454;0.00202390
1573142201065;21.1898;9333;0.00689067;0.0423069;0.00202390
1573142206065;21.1781;5000;1.28631e-05;-0.0116940;0.00174436
1573142219732;21.2234;13667;0.00739185;0.0453014;0.00189090
1573142228732;21.1834;9000;0.000468382;-0.0400467;0.00193655
1573142247398;21.3627;18666;0.0210484;0.179337;0.00207933
1573142249732;21.3647;2334;0.000464260;0.00196648;0.000694696
1573142270732;21.5554;21000;0.0161165;0.190748;0.00154968
1573142280398;21.5980;9666;0.00798052;0.0425606;0.000861085
1573142287732;21.5817;7334;0.000834004;-0.0163021;0.00245942
1573142305065;21.7218;17333;0.0139480;0.140135;0.00265438
1573142309732;21.7173;4667;0.000148157;-0.00452614;0.000813429
1573142318732;21.7323;9000;0.00358221;0.0149918;0.000813506
1573142324732;21.6836;6000;0.00150383;-0.0487194;0.00369700
1573142330065;21.7172;5333;0.0104727;0.0336380;0.00369700
1573142332732;21.7166;2667;3.60089e-05;-0.000602722;-0.000129712
1573142333398;21.7163;666;0.000506801;-0.000335693;3.44150e-05
1573142335398;21.7147;2000;0.000506801;-0.00158882;0.000892291
1573142336398;21.7152;1000;5.32812e-05;0.000488281;0.00144748
1573142349065;21.8016;12667;0.0153750;0.0863895;0.00220753
1573142362398;21.6219;13333;0.000138418;-0.179668;0.00120021
1573142367732;21.6297;5334;0.00262356;0.00777054;0.00120021
1573142373065;21.6210;5333;0.000715611;-0.00866318;0.00242144
1573142390065;21.7939;17000;0.0158691;0.172888;0.00277625
1573142398398;21.8387;8333;0.00795434;0.0448284;0.000150425
1573142407065;21.8762;8667;0.00700682;0.0374374;0.000683987
1573142417732;21.8543;10667;0.000456107;-0.0218830;0.00103624
1573142441065;21.9060;23333;0.00382751;0.0517597;0.00103624
1573142447732;21.9158;6667;0.00273957;0.00976944;0.000229366
1573142454065;21.9015;6333;0.000119513;-0.0143356;0.000993348
1573142464065;21.9212;10000;0.00325227;0.0197220;0.000993348
1573142478065;21.9653;14000;0.00649796;0.0441017;0.000896764
1573142497065;22.0074;19000;0.00360038;0.0421429;0.000265994
1573142498065;22.0067;1000;0.000604929;-0.000711441;0.000682318
1573142499398;22.0072;1333;0.000498834;0.000492096;0.00167737
1573142505398;22.0472;6000;0.0124099;0.0399303;0.00167737
1573142512398;21.9958;7000;7.16838e-05;-0.0513248;0.00187792
1573142518065;22.0040;5667;0.00265030;0.00816536;0.00187792
1573142524398;21.9924;6333;0.000415115;-0.0116291;0.00109086
1573142530732;22.0090;6334;0.00447498;0.0166302;0.00109086
1573142537065;21.9879;6333;0.000227569;-0.0210800;0.000615042
1573142539732;21.9866;2667;0.000863826;-0.00136185;0.000615042
1573142550065;21.9759;10333;9.89647e-05;-0.0106316;0.00105439
1573142558065;22.0195;8000;0.0107469;0.0435429;0.00154982
1573142561398;22.0154;3333;0.00139397;-0.00409698;0.00183487
1573142566398;22.0426;5000;0.0107215;0.0271912;0.00184554
1573142578732;21.8033;12334;0.00266101;-0.239267;0.00563254
1573142582065;21.8126;3333;0.00478547;0.00931931;0.00563254
1573142586732;21.7946;4667;0.000600642;-0.0179710;0.00244734
