HRV.time;HRV.x;HRV.y;HRV.z
1573142085690;56.9230;34.9166;8.16034
1573142085940;58.2695;34.2889;7.44165
1573142086190;59.5553;33.6151;6.82966
1573142086440;60.7599;32.8799;6.36017
1573142086690;61.8678;32.0750;6.05715
1573142086940;62.8818;31.1998;5.91844
1573142087190;63.8562;30.1634;5.98038
1573142087440;64.6592;29.1028;6.23794
1573142087690;65.3725;28.0581;6.56940
1573142087940;66.0749;27.0622;6.86286
1573142088190;66.7073;26.4334;6.85936
1573142088440;67.6315;25.8226;6.54594
1573142088690;68.7877;25.2084;6.00386
1573142088940;70.0904;24.5568;5.35286
1573142089190;71.4288;23.8414;4.72984
1573142089440;72.7127;23.0423;4.24502
1573142089690;73.8813;22.1567;3.96206
1573142089940;74.9125;21.2033;3.88421
1573142090190;75.8337;20.2058;3.96049
1573142090440;76.6900;19.1990;4.11104
1573142090690;77.4787;18.2985;4.22278
1573142090940;78.3366;17.4174;4.24606
1573142091190;79.2611;16.5636;4.17530
1573142091440;80.1913;15.7712;4.03756
1573142091690;81.1325;14.9966;3.87088
1573142091940;81.9472;14.3254;3.72747
1573142092190;82.7356;13.6583;3.60607
1573142092440;83.4772;12.9959;3.52689
1573142092690;84.1841;12.3226;3.49338
1573142092940;84.8383;11.6665;3.49523
1573142093190;85.4586;11.0344;3.50698
1573142093440;86.0616;10.4324;3.50598
1573142093690;86.6577;9.86053;3.48173
1573142093940;87.4177;9.03739;3.54493
1573142094190;87.8071;8.35557;3.83731
1573142094440;87.8703;7.82042;4.30925
1573142094690;87.6922;7.43218;4.87566
1573142094940;87.6329;7.27219;5.09488
1573142095190;87.7522;7.12549;5.12227
1573142095440;88.0322;6.99735;4.97045
1573142095690;88.4617;6.86618;4.67215
1573142095940;88.9826;6.72586;4.29152
1573142096190;89.5287;6.56971;3.90163
1573142096440;90.0301;6.39485;3.57502
1573142096690;90.4426;6.19902;3.35839
1573142096940;90.7441;5.98536;3.27053
1573142097190;90.9638;5.65634;3.37985
