edr.peak_time;edr.peak_dat;edr.rise_time;edr.max_deriv;edr.amplitude;edr.max_deriv2
1573142087516;4.66904;467;0.623095;-0.0700660;0.252627
1573142089316;4.60198;800;0.498339;0.488245;1.27894
1573142089849;4.49946;133;0.306603;-0.0129676;0.0967547
1573142090116;4.48993;267;0.306603;-0.00952768;0.240585
1573142090916;4.68073;733;0.303597;0.178656;0.212770
1573142091183;4.64104;0;0.00235062;0.00000;0.144051
1573142091716;4.66441;533;0.594775;0.0233793;0.309321
1573142093649;4.96639;1066;0.556662;0.623867;0.941128
1573142094049;4.76109;333;0.396469;-0.309390;-0.202848
1573142095049;4.57837;66;0.0638535;-0.0274811;-0.552489
1573142095449;4.27400;200;0.101660;-0.212410;0.112335
1573142097249;4.63657;1000;1.01330;0.699687;1.67088
1573142098449;4.44415;266;0.0868580;0.00952148;0.142789
1573142099849;4.40988;600;0.207882;0.109437;0.505841
1573142099983;4.42174;134;0.245665;0.0118561;0.0190585
1573142100383;4.51493;400;0.254985;0.0931935;0.0190585
1573142101649;4.51962;866;0.0217442;0.0156960;-0.0129599
1573142103649;4.45219;733;0.0173754;0.0135965;0.100019
1573142107116;4.56365;1733;0.136168;0.132101;0.122857
1573142115849;4.76399;2000;0.279280;0.290606;0.261994
1573142117516;4.84096;1667;0.0815733;0.0769720;0.0141540
1573142120983;5.00996;3467;0.0865526;0.169005;0.0468387
1573142122916;5.66787;1467;0.793789;0.693858;0.689743
1573142126183;5.45419;667;0.00525320;0.00719690;0.0603396
1573142127183;5.55434;934;0.0569035;0.0999851;0.0350880
1573142129249;4.24495;666;0.145787;0.133777;1.48745
1573142131583;4.71922;1400;0.621786;0.543597;0.975958
1573142134516;4.62467;1400;1.18541;0.935046;1.91322
1573142134849;4.78245;333;0.311173;0.157783;0.0653166
1573142136183;5.31072;1334;0.545288;0.528275;0.141333
1573142138783;5.33580;934;0.0110613;0.0873284;0.0209721
1573142141383;5.28652;1267;1.86392;1.47438;3.04331
1573142142849;5.23577;466;0.0756283;0.0488052;-0.296249
1573142145849;4.75520;1666;1.44060;1.73365;3.42789
1573142149583;5.24107;2200;1.20335;1.48864;0.948019
1573142151449;5.27196;933;0.512630;0.326835;0.759080
1573142152316;5.25566;600;0.0525585;-0.00330639;-0.0955171
1573142156983;5.17862;934;0.297845;0.128249;0.293547
1573142158916;5.89871;1133;1.54945;1.03819;1.49728
1573142160916;5.87404;1333;0.159612;0.124164;0.144944
1573142162116;5.87953;400;0.0209741;0.0134969;-0.215606
1573142164249;5.61567;933;1.32016;0.640158;1.59611
1573142166249;5.19826;866;1.79059;0.609095;2.06115
1573142168983;5.66503;1467;1.90584;1.74318;2.74617
1573142170183;5.68736;867;0.129172;0.0810995;0.00217287
1573142172116;5.93484;1933;0.143799;0.247482;0.0155607
1573142175449;5.56156;1800;1.33990;1.38448;2.02689
1573142177916;4.45662;867;0.0719046;0.0555396;0.792133
1573142183316;4.78139;4733;0.222444;0.326528;0.147935
1573142186249;5.42930;1400;0.874408;0.712367;0.758522
1573142187449;5.30612;333;0.00686217;0.000853062;0.197711
1573142190583;5.57354;2867;0.164846;0.264156;0.168978
1573142193716;5.60107;1933;0.106786;0.132500;0.209388
1573142196383;5.55041;1200;0.107251;0.0810876;0.208859
1573142198249;5.72280;1533;0.0828674;0.170415;0.0778284
1573142201983;5.64350;2200;1.70737;2.04327;2.49448
1573142204649;5.52775;666;0.0887290;0.0593529;0.0955724
1573142206983;5.30119;1134;0.470507;0.312027;0.896412
1573142207383;5.44389;400;0.348124;0.142700;0.0465045
1573142209049;5.48380;1466;0.0514859;0.0826764;-0.00837689
1573142211849;5.42871;1466;0.702301;0.583988;1.19549
1573142214316;5.37333;400;0.0358080;-0.00114536;0.0297409
1573142216116;5.42141;1200;0.0777556;0.0522990;0.0622286
1573142219116;5.46096;600;0.0191427;0.0660858;0.00701437
1573142220849;3.87087;133;0.0534498;-0.0146058;0.555820
1573142224049;4.77976;2066;1.21608;1.48774;1.94958
1573142227316;5.24874;2067;0.958809;1.22154;1.32139
1573142229916;5.07067;1267;0.865653;0.704649;1.51868
1573142232849;4.58578;733;0.964969;0.428432;1.51388
1573142233449;4.86929;600;0.602071;0.283516;0.0168421
1573142233916;4.99249;200;0.532884;0.0414796;0.0198712
1573142234583;5.24793;667;0.675678;0.255444;0.0198712
1573142236516;4.39215;400;0.219024;-0.0199094;0.335698
1573142240983;4.49903;3067;0.257350;0.619513;0.733078
1573142242983;4.50831;1734;0.0204684;0.0129213;-0.00564690
1573142245383;4.62260;1600;0.132197;0.125124;0.119043
1573142245649;4.62071;0;0.0103419;0.00000;0.00938052
1573142246583;4.63527;934;0.0304037;0.0145588;0.143009
1573142248183;4.95214;1467;0.412660;0.316209;0.266773
1573142251583;4.84560;1267;0.0622890;0.0493326;0.182174
1573142253583;4.89734;1734;0.0521429;0.0485706;0.0409013
1573142254849;4.89573;200;0.000319629;-5.19753e-05;-0.00544193
1573142255516;4.93654;533;0.00697621;0.0388513;-0.0312953
1573142258316;4.57050;1400;0.534793;0.529090;1.32497
1573142260249;4.65429;1133;0.241701;0.143943;0.267082
1573142261849;4.55013;600;0.145045;0.00542831;0.150128
1573142263449;4.38091;400;0.00987139;0.00742006;0.235169
1573142265183;4.40531;1067;0.0658427;0.0362768;0.0806486
1573142266316;4.43570;733;0.144277;0.0356321;0.136037
1573142267983;4.68964;1200;0.420401;0.240456;0.236106
1573142271783;4.79481;2334;0.219073;0.241642;0.140422
1573142273516;4.76289;667;0.0375374;0.00953054;0.0477846
1573142280249;4.64456;3533;0.101424;0.223021;0.187148
1573142281516;4.73207;1267;0.0909728;0.0875139;0.0280606
1573142285183;5.12035;3667;0.284365;0.388282;0.174327
1573142287649;5.20423;1133;0.233503;0.146967;0.248890
1573142291849;4.66552;2333;0.138915;0.198864;0.515224
1573142292516;4.66369;333;0.00208791;-0.00101280;0.000155286
1573142293916;4.68735;1400;0.0119587;0.0236630;0.0107822
1573142296983;4.53892;1600;0.293560;0.174371;0.339082
1573142298783;4.70344;1067;0.370598;0.203586;0.339723
1573142301916;4.88206;2600;0.173754;0.204173;0.0944918
1573142302983;4.86997;400;0.00607500;-0.000424385;0.00486547
1573142306383;4.97551;1600;0.136170;0.134504;0.129601
1573142310183;4.96336;1067;0.0507218;0.0293150;0.0485936
1573142311716;4.78198;133;0.00487102;-0.00971556;0.0303133
1573142313716;4.96787;1200;0.379100;0.242775;0.353892
1573142316783;5.11800;1267;0.492378;0.342691;0.448091
1573142319916;4.71766;1000;0.151378;0.0878072;0.417957
1573142321649;5.83350;1333;1.39831;1.12478;1.08727
1573142327249;5.06234;3200;0.144287;0.350004;0.521080
1573142329116;5.28286;1867;0.135023;0.220524;0.0710695
1573142331383;5.65113;2267;0.231691;0.368263;0.0738323
1573142334649;5.85060;2333;0.136442;0.229873;0.143782
1573142336516;6.04698;1867;0.122326;0.196380;0.0407540
1573142337983;6.26452;1467;0.170147;0.217535;0.0274307
1573142341383;5.68129;2000;0.215693;0.223515;1.00219
1573142343116;5.75588;1733;0.0614029;0.0745888;0.0274340
1573142346849;5.99743;3733;0.0937712;0.241550;0.0460603
1573142347649;6.00279;666;0.0115520;0.00421047;-0.0179419
1573142350583;5.94395;734;0.0898266;0.0163746;0.645326
1573142352116;6.79968;1467;1.01078;0.847938;0.741186
1573142353716;6.59389;667;0.0222895;0.0185995;0.323461
1573142354449;6.59854;466;0.00308255;0.00418377;-0.00300371
