HRV.time;HRV.x;HRV.y;HRV.z
1573142118686;82.1436;11.4810;6.37542
1573142118936;82.4222;11.4100;6.16782
1573142119186;82.7186;11.3220;5.95944
1573142119436;82.9797;11.2116;5.80873
1573142119686;83.1572;11.0788;5.76394
1573142119936;83.2334;10.9267;5.83989
1573142120186;83.2173;10.7617;6.02100
1573142120436;83.1377;10.5950;6.26737
1573142120686;83.0306;10.4373;6.53215
1573142120936;82.9387;10.3039;6.75740
1573142121186;82.8775;10.1938;6.92870
1573142121436;82.8384;10.1127;7.04886
1573142121686;82.7963;10.0643;7.13942
1573142121936;82.7198;10.0516;7.22854
1573142122186;82.2182;10.1595;7.62229
1573142122436;81.0990;10.4705;8.43057
1573142122686;79.4781;10.9962;9.52573
1573142122936;77.5483;11.7457;10.7060
1573142123186;75.5119;12.7262;11.7619
1573142123436;73.6717;13.8647;12.4636
1573142123686;72.0139;15.2114;12.7747
1573142123936;70.5406;16.7549;12.7045
1573142124186;69.1975;18.4701;12.3324
1573142124436;67.9035;20.3154;11.7811
1573142124686;66.5742;22.2449;11.1810
1573142124936;65.1569;24.2037;10.6394
1573142125186;63.6357;26.1502;10.2140
1573142125436;62.0352;28.0544;9.91035
1573142125686;60.3996;29.9058;9.69459
1573142125936;58.7787;31.7015;9.51980
1573142126186;57.2031;33.4464;9.35045
1573142126436;55.6833;35.1367;9.18005
1573142126686;54.2044;36.7622;9.03343
1573142126936;52.7421;38.3005;8.95742
1573142127186;51.6997;39.3892;8.91115
1573142127436;50.7535;40.4113;8.83514
1573142127686;49.8663;41.3583;8.77541
1573142127936;49.0045;42.2190;8.77652
1573142128186;48.1415;42.9863;8.87212
1573142128436;46.8750;43.8588;9.26626
1573142128686;45.4062;44.5663;10.0274
1573142128936;43.7728;45.1526;11.0745
1573142129186;42.0342;45.6869;12.2789
1573142129436;40.2544;46.2495;13.4961
1573142129686;38.7953;46.8357;14.3690
1573142129936;37.4421;47.6004;14.9575
1573142130186;36.1859;48.5625;15.2516
1573142130436;35.0017;49.7082;15.2901
1573142130686;33.8485;51.0039;15.1476
1573142130936;32.6900;52.3964;14.9135
1573142131186;31.8595;53.4749;14.6656
1573142131436;31.0692;54.6125;14.3183
1573142131686;30.3046;55.7816;13.9138
1573142131936;29.5544;56.9554;13.4901
1573142132186;28.8119;58.1060;13.0821
1573142132436;28.0714;59.2060;12.7226
1573142132686;27.3274;60.2258;12.4468
1573142132936;26.5731;61.1313;12.2955
1573142133186;25.8008;61.8845;12.3147
1573142133436;25.0077;62.4442;12.5481
1573142133686;24.1893;62.7809;13.0297
1573142133936;23.3505;62.8770;13.7725
1573142134186;22.4979;62.7350;14.7671
1573142134436;21.6442;62.3742;15.9816
1573142134686;20.6619;61.7075;17.6306
1573142134936;19.6749;60.7873;19.5379
1573142135186;18.6988;59.6488;21.6525
1573142135436;17.9175;58.5789;23.5037
1573142135686;17.1832;57.4309;25.3859
1573142135936;16.4830;56.1775;27.3395
1573142136186;15.8027;54.7862;29.4112
1573142136436;15.1345;53.2476;31.6178
1573142136686;14.0120;50.3543;35.6337
1573142136936;12.8171;46.9959;40.1870
1573142137186;11.6634;43.5854;44.7512
1573142137436;10.6851;40.6328;48.6821
1573142137686;10.0037;38.6147;51.3816
1573142137936;9.71782;37.9175;52.3646
1573142138186;9.90987;38.8338;51.2563
1573142138436;10.6348;41.4950;47.8702
1573142138686;11.8613;45.6406;42.4981
1573142138936;13.2659;49.9906;36.7436
1573142139186;14.5960;53.5304;31.8737
1573142139436;14.6998;53.7509;31.5494
1573142139686;14.8030;53.9232;31.2738
1573142139936;14.8102;53.9316;31.2581
1573142140186;14.8177;53.9368;31.2455
1573142140436;14.8255;53.9392;31.2353
1573142140686;14.8337;53.9391;31.2272
1573142140936;14.8423;53.9365;31.2212
1573142141186;14.8510;53.9310;31.2180
1573142141436;14.8595;53.9219;31.2186
1573142141686;14.8673;53.9084;31.2242
1573142141936;14.8744;53.8905;31.2351
1573142142186;14.8127;54.0965;31.0908
1573142142436;14.7539;54.3153;30.9308
1573142142686;14.6937;54.5236;30.7827
1573142142936;14.6271;54.6956;30.6773
1573142143186;14.7507;54.4929;30.7564
1573142143436;14.8881;54.3808;30.7311
1573142143686;14.9348;54.3783;30.6870
1573142143936;15.0422;54.4346;30.5232
1573142144186;15.1517;54.5321;30.3162
1573142144436;15.0749;54.4454;30.4797
1573142144686;15.0046;54.3571;30.6383
1573142144936;14.9449;54.2842;30.7709
1573142145186;14.6687;53.9735;31.3578
1573142145436;14.6758;53.9789;31.3452
1573142145686;14.6798;53.9761;31.3441
1573142145936;14.6809;53.9659;31.3532
1573142146186;14.6854;54.0328;31.2818
1573142146436;14.6957;54.1110;31.1933
1573142146686;14.7088;54.1906;31.1006
1573142146936;14.6401;53.8299;31.5300
1573142147186;14.5699;53.4968;31.9333
1573142147436;14.5164;53.2544;32.2292
1573142147686;14.4981;53.1662;32.3358
1573142147936;14.5498;53.3537;32.0965
1573142148186;14.6972;53.9267;31.3761
1573142148436;14.9533;54.9161;30.1306
1573142148686;15.3097;56.2720;28.4182
1573142148936;15.4017;56.6153;27.9830
1573142149186;15.5133;57.0241;27.4626
1573142149436;15.6273;57.4297;26.9430
1573142149686;15.7248;57.7591;26.5160
1573142149936;15.7912;57.9549;26.2539
1573142150186;15.7217;57.8358;26.4425
1573142150436;15.6953;57.9212;26.3835
1573142150686;15.6880;58.2640;26.0480
1573142150936;15.6711;58.6434;25.6855
1573142151186;15.6104;58.9142;25.4754
1573142151436;15.4871;58.9782;25.5348
1573142151686;15.5567;58.9977;25.4455
1573142151936;15.7610;58.8405;25.3984
1573142152186;15.8546;58.2685;25.8770
1573142152436;15.8532;57.5306;26.6163
1573142152686;15.8061;56.6923;27.5016
1573142152936;15.7498;55.8972;28.3530
1573142153186;15.7188;55.2670;29.0142
1573142153436;15.7359;54.8639;29.4001
1573142153686;15.8079;54.7016;29.4904
1573142153936;15.9253;54.7241;29.3506
1573142154186;16.0202;54.8208;29.1590
1573142154436;16.0733;54.8928;29.0338
1573142154686;16.1324;54.9694;28.8982
1573142154936;16.1900;55.0191;28.7908
1573142155186;16.2808;55.0168;28.7024
1573142155436;16.3632;54.9049;28.7319
1573142155686;16.4444;54.7274;28.8282
1573142155936;16.5459;54.5508;28.9034
1573142156186;16.6880;54.4379;28.8740
1573142156436;17.0591;54.3473;28.5936
1573142156686;17.5901;54.3002;28.1097
1573142156936;18.1772;54.2460;27.5768
1573142157186;18.7712;54.1316;27.0972
1573142157436;19.3732;53.8853;26.7415
1573142157686;19.9544;53.4413;26.6044
1573142157936;20.4647;52.8273;26.7079
1573142158186;21.1126;51.5550;27.3324
1573142158436;21.6101;49.9255;28.4644
1573142158686;22.0047;48.1316;29.8636
1573142158936;22.3236;46.7195;30.9569
1573142159186;22.7115;45.4656;31.8229
1573142159436;23.1863;44.3892;32.4245
1573142159686;23.7304;43.5103;32.7593
1573142159936;24.3558;42.7576;32.8866
1573142160186;25.0513;42.1034;32.8453
1573142160436;26.0405;41.2711;32.6883
1573142160686;26.3089;41.1285;32.5626
1573142160936;26.6729;41.0774;32.2497
1573142161186;26.6673;41.0768;32.2558
1573142161436;26.6606;41.0753;32.2640
1573142161686;26.6534;41.0734;32.2733
1573142161936;27.2972;41.2044;31.4983
1573142162186;27.8711;41.2182;30.9106
1573142162436;28.3229;41.0660;30.6111
1573142162686;28.6215;40.7341;30.6444
1573142162936;28.4189;41.2517;30.3294
1573142163186;28.2863;41.8340;29.8798
1573142163436;28.2401;42.1869;29.5730
1573142163686;28.2186;42.5237;29.2576
1573142163936;28.2133;42.8222;28.9644
1573142164186;28.2209;43.0699;28.7093
