tempr.peak_time;tempr.peak_dat;tempr.rise_time;tempr.max_deriv;tempr.amplitude;tempr.max_deriv2
1573142126626;30.2192;20000;0.0307703;0.331236;0.00261840
1573142135959;30.5185;9333;0.0355242;0.299362;0.00199461
1573142197292;32.4538;61333;0.0579660;1.93526;0.00934738
1573142204292;32.8397;7000;0.0516965;0.385902;0.00934738
1573142210292;32.8047;6000;-0.00833800;-0.0349541;-0.0102957
1573142216959;32.8539;6667;0.00858506;0.0491867;0.00289096
1573142231626;32.9665;14667;0.0123406;0.112534;0.000892605
1573142243959;33.0765;12333;0.0155426;0.109997;0.00227977
1573142252959;33.0131;9000;-0.0130215;-0.0633965;-0.00383415
1573142264292;32.9445;11333;-0.0106716;-0.0685616;-0.00138157
1573142283626;32.7154;18000;-0.0349429;-0.229370;-0.00497261
1573142293959;32.6930;8333;-0.00479542;-0.0224495;-0.000776294
1573142329626;32.8304;35667;0.0181223;0.137436;0.00237210
1573142333292;32.9228;3666;-0.00213299;0.0923233;-0.00643237
1573142353292;33.6354;20000;0.0657460;0.712635;0.00908878
1573142362959;33.7984;9667;0.0241141;0.163017;0.00117306
1573142379292;33.7196;16333;-0.00981334;-0.0788231;-0.00432416
1573142400959;33.8449;21667;0.0100272;0.125332;0.000789378
1573142413626;33.9633;12667;0.0115184;0.118389;0.000303935
1573142422292;34.0186;8666;0.00880324;0.0552521;4.76776e-05
1573142432959;34.0568;10667;0.00507066;0.0382156;0.000161060
1573142438292;34.0452;5333;-0.00433516;-0.0115585;-0.00116893
1573142459626;33.9561;17000;-0.00908922;-0.0963173;-0.00144464
1573142479292;33.9795;19666;0.00416358;0.0233803;0.000780691
1573142488626;34.0022;9334;0.00412984;0.0227318;0.000464402
1573142514959;34.1992;26333;0.0107362;0.196983;0.000984991
1573142523959;34.2422;9000;0.00729667;0.0430222;7.21495e-06
1573142538959;34.0544;15000;-0.0231349;-0.187809;-0.00354976
1573142552626;33.9026;13667;-0.0171414;-0.151817;-1.48690e-05
1573142563626;33.8315;9000;-0.0107621;-0.0708389;-0.00171819
1573142597626;33.7350;34000;-0.0233185;-0.0964432;-0.00326264
1573142621959;33.5631;24333;-0.0233185;-0.171963;-0.00326264
1573142634959;33.4855;13000;-0.00820896;-0.0775528;-0.00202753
1573142643292;33.4492;8333;-0.00652254;-0.0363235;-0.000565330
1573142653292;33.3964;10000;-0.00923373;-0.0528069;-0.000732642
1573142668959;33.3491;15667;-0.00695524;-0.0472870;-0.000806117
1573142680959;33.3073;12000;-0.00734560;-0.0417786;-0.00100701
1573142690959;33.2540;10000;-0.00950773;-0.0533371;-0.00133981
1573142698959;33.2128;8000;-0.00851931;-0.0412292;-0.000472633
1573142707959;33.1642;9000;-0.00875123;-0.0485420;-0.00107472
1573142716292;33.1199;8333;-0.00859917;-0.0442772;-0.000654511
1573142724959;33.0731;8667;-0.00906735;-0.0468178;-0.000922329
1573142740626;33.0261;15667;-0.00806148;-0.0469933;-0.000842168
1573142767292;33.2529;20333;0.0154667;0.227112;0.00176779
1573142777959;33.3515;10667;0.0117807;0.0985985;3.49321e-05
1573142788292;33.3923;10333;0.00765397;0.0407906;0.000480000
1573142801959;33.5050;13667;0.0154570;0.112667;0.00193600
