HRV.time;HRV.x;HRV.y;HRV.z
1573142083585;13.9832;34.5082;51.5087
1573142083835;13.0676;36.0868;50.8456
1573142084085;12.2079;37.8213;49.9708
1573142084335;11.3750;39.6066;49.0183
1573142084585;10.5296;41.2534;48.2169
1573142084835;9.76716;42.3291;47.9038
1573142085085;8.94906;42.8569;48.1941
1573142085335;8.07848;42.6930;49.2285
1573142085585;8.31811;42.9059;48.7760
1573142085835;8.56371;43.2495;48.1867
1573142086085;11.0663;47.3491;41.5846
1573142086335;13.0675;50.5587;36.3738
1573142086585;13.9093;51.8090;34.2817
1573142086835;14.4108;52.4421;33.1471
1573142087085;14.6642;52.6070;32.7288
1573142087335;14.7825;52.5205;32.6970
1573142087585;14.8670;52.3865;32.7465
1573142087835;14.7221;52.2386;33.0394
1573142088085;13.6024;49.9741;36.4235
1573142088335;11.5616;45.3778;43.0606
1573142088585;12.2312;46.8021;40.9667
1573142088835;12.9031;47.9808;39.1162
1573142089085;14.0467;49.3882;36.5651
1573142089335;15.0571;49.9495;34.9935
1573142089585;15.1817;49.9464;34.8719
1573142089835;15.3140;49.9082;34.7778
1573142090085;15.4598;49.8567;34.6835
1573142090335;15.0119;49.9813;35.0068
1573142090585;14.5179;50.0783;35.4038
1573142090835;14.0063;50.1968;35.7969
1573142091085;13.5091;50.4055;36.0854
1573142091335;12.2164;51.3330;36.4506
1573142091585;11.0958;52.5995;36.3047
1573142091835;10.2654;54.0627;35.6719
1573142092085;9.71338;55.5230;34.7636
1573142092335;9.18766;57.4452;33.3672
1573142092585;8.77224;59.3373;31.8905
1573142092835;8.44679;61.0164;30.5369
1573142093085;8.31176;61.7757;29.9125
1573142093335;8.21385;62.3892;29.3969
1573142093585;8.47711;59.4774;32.0455
1573142093835;8.56691;56.2556;35.1775
1573142094085;8.55964;53.0447;38.3957
1573142094335;8.53179;50.4095;41.0587
1573142094585;8.55545;48.6774;42.7672
1573142094835;8.67812;47.9290;43.3929
1573142095085;8.92116;48.0770;43.0019
1573142095335;9.28586;48.9421;41.7720
1573142095585;9.76041;50.3029;39.9367
1573142095835;10.3264;51.9320;37.7416
1573142096085;10.9656;53.6304;35.4039
1573142096335;10.9759;53.6564;35.3677
1573142096585;10.9882;53.6875;35.3244
1573142096835;11.0023;53.7211;35.2767
1573142097085;11.3987;54.5584;34.0429
1573142097335;11.8143;55.2713;32.9144
1573142097585;12.2359;55.7951;31.9690
1573142097835;12.6972;56.1052;31.1976
1573142098085;13.0841;56.1023;30.8136
1573142098335;13.4393;55.8166;30.7441
1573142098585;13.7566;55.2675;30.9758
1573142098835;13.4533;55.9965;30.5502
1573142099085;13.1603;56.7670;30.0727
1573142099335;12.8810;57.5368;29.5822
1573142099585;12.8578;57.6076;29.5346
1573142099835;12.8377;57.6810;29.4813
1573142100085;12.8210;57.7551;29.4239
1573142100335;12.7292;58.2391;29.0317
1573142100585;12.6579;58.6688;28.6733
1573142100835;12.6070;59.0307;28.3623
1573142101085;12.5758;59.3150;28.1092
1573142101335;12.5605;59.5467;27.8927
1573142101585;12.5646;59.6649;27.7704
1573142101835;12.5863;59.6669;27.7468
1573142102085;12.5924;59.6524;27.7553
1573142102335;12.6013;59.6265;27.7722
1573142102585;12.6128;59.5904;27.7968
1573142102835;12.6267;59.5459;27.8274
1573142103085;12.6936;59.3312;27.9752
1573142103335;12.7693;59.1008;28.1298
1573142103585;12.8558;58.8777;28.2665
1573142103835;12.7631;59.0399;28.1970
1573142104085;12.6529;59.1369;28.2103
1573142104335;12.5277;59.1704;28.3019
1573142104585;12.4067;59.1581;28.4352
1573142104835;12.2824;59.1255;28.5922
1573142105085;12.1600;59.0948;28.7452
1573142105335;12.0433;59.0838;28.8729
1573142105585;11.9662;59.0971;28.9368
1573142105835;11.8939;59.1310;28.9752
1573142106085;11.8245;59.1779;28.9976
1573142106335;11.5439;59.3443;29.1119
1573142106585;11.2493;59.4266;29.3241
1573142106835;10.9421;59.4270;29.6309
1573142107085;10.8906;59.4255;29.6838
