TEMP.time;TEMP.data
1573142083585;26.312977
1573142083651;26.334763
1573142083718;26.312977
1573142083785;26.334763
1573142083851;26.334763
1573142083918;26.334763
1573142083985;26.312977
1573142084051;26.312977
1573142084118;26.312977
1573142084185;26.312977
1573142084251;26.312977
1573142084318;26.312977
1573142084385;26.312977
1573142084451;26.312977
1573142084518;26.312977
1573142084585;26.312977
1573142084651;26.312977
1573142084718;26.334763
1573142084785;26.334763
1573142084851;26.312977
1573142084918;26.312977
1573142084985;26.312977
1573142085051;26.312977
1573142085118;26.334763
1573142085185;26.312977
1573142085251;26.334763
1573142085318;26.312977
1573142085385;26.334763
1573142085451;26.334763
1573142085518;26.356552
1573142085585;26.334763
1573142085651;26.312977
1573142085718;26.334763
1573142085785;26.356552
1573142085851;26.312977
1573142085918;26.334763
1573142085985;26.356552
1573142086051;26.334763
1573142086118;26.334763
1573142086185;26.312977
1573142086251;26.312977
1573142086318;26.334763
1573142086385;26.334763
1573142086451;26.334763
1573142086518;26.334763
1573142086585;26.334763
1573142086651;26.312977
1573142086718;26.312977
1573142086785;26.334763
1573142086851;26.334763
1573142086918;26.334763
1573142086985;26.334763
1573142087051;26.334763
1573142087118;26.356552
1573142087185;26.356552
1573142087251;26.334763
1573142087318;26.334763
1573142087385;26.356552
1573142087451;26.334763
1573142087518;26.356552
1573142087585;26.334763
1573142087651;26.356552
1573142087718;26.356552
1573142087785;26.356552
1573142087851;26.356552
1573142087918;26.334763
1573142087985;26.334763
1573142088051;26.356552
1573142088118;26.334763
1573142088185;26.334763
1573142088251;26.334763
1573142088318;26.356552
1573142088385;26.356552
1573142088451;26.334763
1573142088518;26.334763
1573142088585;26.356552
1573142088651;26.356552
1573142088718;26.356552
1573142088785;26.356552
1573142088851;26.356552
1573142088918;26.334763
1573142088985;26.356552
1573142089051;26.356552
1573142089118;26.356552
1573142089185;26.356552
1573142089251;26.356552
1573142089318;26.356552
1573142089385;26.356552
1573142089451;26.356552
1573142089518;26.356552
1573142089585;26.356552
1573142089651;26.356552
1573142089718;26.356552
1573142089785;26.356552
1573142089851;26.356552
