HRV.time;HRV.x;HRV.y;HRV.z
1573142116574;17.4399;53.8193;28.7408
1573142116824;16.3993;55.1720;28.4286
1573142117074;15.4962;56.4228;28.0810
1573142117324;14.7211;57.6821;27.5968
1573142117574;14.0862;58.9409;26.9729
1573142117824;13.6157;60.0651;26.3192
1573142118074;12.9867;61.6070;25.4062
1573142118324;12.4292;62.6851;24.8857
1573142118574;11.9351;63.2605;24.8044
1573142118824;11.5153;63.4129;25.0718
1573142119074;11.2243;63.3476;25.4281
1573142119324;11.0346;63.2629;25.7025
1573142119574;10.9671;63.2818;25.7512
1573142119824;11.0185;63.4364;25.5451
1573142120074;11.1690;63.6407;25.1903
1573142120324;11.3814;63.7356;24.8831
1573142120574;11.6023;63.5612;24.8365
1573142120824;11.8109;63.0189;25.1701
1573142121074;11.9102;62.6191;25.4708
1573142121324;12.0187;62.1876;25.7937
1573142121574;12.1512;61.8042;26.0445
1573142121824;12.3273;61.5634;26.1094
1573142122074;12.5659;61.5475;25.8866
1573142122324;13.1917;61.9571;24.8512
1573142122574;13.9529;62.6976;23.3495
1573142122824;14.5201;63.3600;22.1198
1573142123074;15.1638;64.1395;20.6967
1573142123324;15.8485;64.8472;19.3043
1573142123574;17.0193;65.4726;17.5082
1573142123824;18.0424;65.0736;16.8839
1573142124074;18.8698;63.6266;17.5036
1573142124324;19.2676;62.4094;18.3230
1573142124574;19.6697;61.0213;19.3090
1573142124824;20.1296;59.6231;20.2473
1573142125074;20.6933;58.3294;20.9774
1573142125324;21.3909;57.1905;21.4185
1573142125574;22.2329;56.1940;21.5731
1573142125824;23.9122;54.4857;21.6022
1573142126074;25.6943;52.6013;21.7044
1573142126324;27.5113;50.4606;22.0281
1573142126574;29.3076;48.0618;22.6306
1573142126824;30.5518;46.3148;23.1335
1573142127074;31.8530;44.5721;23.5749
1573142127324;33.1236;43.0449;23.8316
1573142127574;34.5022;41.6256;23.8721
1573142127824;35.9938;40.3310;23.6752
1573142128074;38.3536;38.5089;23.1375
1573142128324;40.6776;36.8041;22.5183
1573142128574;42.8992;35.2378;21.8630
1573142128824;44.9320;33.8754;21.1926
1573142129074;46.8140;32.7173;20.4687
1573142129324;48.3759;31.8945;19.7296
1573142129574;49.1990;31.5764;19.2246
1573142129824;50.0764;31.3448;18.5788
1573142130074;49.8739;31.3839;18.7422
1573142130324;49.6580;31.4252;18.9168
1573142130574;49.4516;31.4841;19.0643
1573142130824;49.2747;31.5745;19.1508
1573142131074;49.1392;31.7043;19.1565
1573142131324;49.0447;31.8734;19.0818
1573142131574;48.8746;32.3616;18.7637
1573142131824;48.9562;32.0641;18.9797
1573142132074;49.0419;31.7717;19.1864
1573142132324;49.1624;31.5076;19.3300
1573142132574;49.3366;31.2873;19.3761
1573142132824;48.2795;31.9864;19.7340
1573142133074;49.1306;31.6400;19.2294
1573142133324;49.9517;31.3534;18.6949
1573142133574;50.6428;31.0806;18.2766
1573142133824;49.8565;31.4678;18.6756
1573142134074;49.1653;31.8819;18.9529
1573142134324;49.1400;31.9050;18.9551
1573142134574;49.1272;31.9298;18.9430
1573142134824;49.1246;31.9545;18.9209
1573142135074;49.1285;31.9765;18.8949
1573142135324;49.1604;32.0655;18.7741
1573142135574;49.1900;32.3035;18.5065
1573142135824;48.9973;32.3551;18.6476
1573142136074;48.7785;32.2881;18.9334
1573142136324;48.5283;32.1553;19.3164
1573142136574;48.2102;31.9444;19.8455
1573142136824;47.9176;31.7240;20.3584
1573142137074;47.6758;31.5177;20.8065
1573142137324;47.7236;31.6253;20.6511
1573142137574;47.6107;31.7076;20.6817
1573142137824;47.3681;31.7785;20.8534
1573142138074;46.9860;31.8695;21.1446
1573142138324;46.5472;31.9932;21.4596
1573142138574;46.1644;32.1436;21.6920
1573142138824;45.7711;32.3647;21.8642
1573142139074;45.4104;32.6455;21.9442
1573142139324;45.1858;32.8818;21.9324
1573142139574;45.1203;32.9752;21.9045
1573142139824;45.0656;33.0758;21.8586
1573142140074;45.0372;33.1342;21.8286
1573142140324;44.9394;33.3152;21.7454
1573142140574;44.8229;33.4777;21.6994
1573142140824;44.5826;33.7132;21.7042
1573142141074;44.3027;33.9119;21.7853
1573142141324;43.7611;34.2212;22.0177
1573142141574;43.2183;34.5253;22.2564
1573142141824;42.7408;34.8728;22.3864
1573142142074;42.3816;35.3047;22.3138
1573142142324;42.1671;35.8425;21.9904
1573142142574;41.9731;36.9661;21.0608
1573142142824;41.9064;37.8734;20.2202
1573142143074;41.8729;38.7846;19.3425
1573142143324;41.7948;39.6119;18.5934
1573142143574;41.5248;40.4718;18.0034
1573142143824;41.0389;41.0382;17.9229
1573142144074;40.8030;41.1691;18.0279
1573142144324;40.5886;41.2450;18.1664
1573142144574;40.4121;41.3082;18.2797
1573142144824;40.3342;41.3834;18.2825
1573142145074;40.3724;41.4891;18.1385
1573142145324;40.6222;41.7333;17.6445
1573142145574;40.9390;41.9342;17.1268
1573142145824;41.2383;42.0138;16.7479
1573142146074;41.4206;41.9122;16.6673
1573142146324;41.4722;41.6003;16.9276
1573142146574;41.3775;41.0814;17.5411
1573142146824;41.3647;41.0225;17.6128
1573142147074;41.3590;40.9602;17.6807
1573142147324;41.3663;40.9020;17.7318
1573142147574;41.3663;40.9020;17.7318
1573142147824;41.3663;40.9020;17.7318
1573142148074;42.3000;40.5620;17.1380
1573142148324;43.2657;40.2991;16.4352
1573142148574;44.0938;40.1217;15.7844
1573142148824;44.7316;40.0269;15.2415
1573142149074;45.0142;40.0370;14.9488
1573142149324;45.3277;40.1181;14.5542
1573142149574;45.7025;40.2719;14.0257
1573142149824;46.0793;40.4594;13.4613
1573142150074;46.4330;40.6420;12.9250
1573142150324;46.7416;40.7781;12.4803
1573142150574;46.9544;40.8101;12.2354
1573142150824;47.0490;40.6986;12.2524
1573142151074;47.0289;40.4438;12.5273
1573142151324;47.0159;40.3579;12.6262
1573142151574;47.0108;40.2422;12.7470
1573142151824;47.0226;40.1063;12.8711
1573142152074;47.0602;39.9565;12.9833
1573142152324;47.1719;39.7012;13.1269
1573142152574;47.8582;38.3317;13.8101
1573142152824;48.5629;36.8055;14.6316
1573142153074;49.2905;35.2625;15.4471
1573142153324;50.0924;33.7691;16.1385
1573142153574;51.0031;32.3764;16.6205
1573142153824;51.4240;31.9385;16.6375
1573142154074;51.9870;31.5620;16.4511
1573142154324;52.6548;31.2334;16.1118
1573142154574;53.3748;30.9339;15.6912
1573142154824;54.0901;30.6458;15.2641
1573142155074;54.7506;30.3585;14.8909
1573142155324;55.3215;30.0713;14.6072
1573142155574;56.0993;29.5709;14.3298
1573142155824;56.3304;29.3801;14.2895
1573142156074;56.5051;29.2214;14.2735
1573142156324;56.7080;28.9729;14.3191
1573142156574;56.7030;28.8028;14.4942
1573142156824;56.4859;28.7061;14.8080
1573142157074;56.1738;28.6816;15.1446
1573142157324;56.1004;28.6854;15.2141
1573142157574;56.0256;28.6970;15.2774
1573142157824;55.9331;28.7204;15.3465
1573142158074;55.8495;28.7515;15.3990
1573142158324;55.6232;28.8660;15.5108
1573142158574;55.4387;28.9885;15.5728
1573142158824;55.2954;29.1240;15.5806
1573142159074;55.1991;29.2661;15.5349
1573142159324;55.0121;29.5720;15.4159
1573142159574;54.7632;29.8439;15.3929
1573142159824;54.4405;30.0629;15.4966
1573142160074;53.9609;30.2449;15.7942
1573142160324;53.3759;30.3627;16.2614
1573142160574;52.6314;30.4506;16.9180
1573142160824;51.8419;30.5377;17.6204
1573142161074;51.0740;30.6760;18.2500
1573142161324;50.5214;30.8752;18.6035
1573142161574;50.0929;31.1879;18.7192
1573142161824;49.5536;31.7889;18.6575
1573142162074;48.7541;32.6683;18.5776
1573142162324;47.6451;33.6965;18.6583
1573142162574;46.2651;34.8023;18.9325
1573142162824;45.3460;35.5468;19.1072
1573142163074;44.4119;36.4063;19.1818
1573142163324;43.3812;37.4693;19.1496
1573142163574;42.3196;38.6733;19.0071
1573142163824;41.2954;39.9451;18.7595
1573142164074;40.2502;41.3496;18.4002
1573142164324;39.1759;42.8718;17.9523
1573142164574;38.0620;44.4864;17.4516
1573142164824;36.8975;46.1591;16.9434
1573142165074;35.6735;47.8479;16.4785
1573142165324;35.2156;48.4770;16.3073
1573142165574;34.7642;49.1104;16.1255
1573142165824;34.3091;49.7269;15.9640
1573142166074;33.8349;50.3106;15.8545
1573142166324;33.3396;50.8352;15.8252
1573142166574;32.8220;51.2900;15.8879
1573142166824;32.4253;51.5802;15.9946
1573142167074;31.9884;51.8559;16.1556
1573142167324;31.3641;52.2113;16.4246
1573142167574;30.7616;52.5443;16.6941
1573142167824;30.1948;52.8803;16.9249
1573142168074;29.7547;53.1834;17.0619
1573142168324;28.5382;54.0837;17.3781
1573142168574;27.3141;54.9458;17.7401
1573142168824;26.2475;55.6700;18.0825
1573142169074;25.1936;56.3781;18.4283
1573142169324;24.1768;57.0683;18.7549
1573142169574;22.6896;58.0452;19.2652
1573142169824;21.1888;58.9707;19.8405
1573142170074;19.7061;59.8949;20.3991
1573142170324;18.2685;60.8698;20.8617
1573142170574;16.6496;62.0629;21.2875
1573142170824;15.0828;63.2691;21.6481
1573142171074;13.5758;64.4435;21.9807
1573142171324;12.1338;65.5111;22.3550
1573142171574;10.8643;66.3479;22.7878
