edr.peak_time;edr.peak_dat;edr.rise_time;edr.max_deriv;edr.amplitude;edr.max_deriv2
1573142090388;1.48117;5000;0.0811135;0.213770;0.0570649
1573142092055;1.48385;867;0.0189550;0.00769031;0.0197892
1573142097455;1.49087;2067;0.0423827;0.0531106;0.0483974
1573142099388;1.46827;667;0.0133288;0.00216734;0.0241401
1573142109721;1.41642;1666;0.00620463;0.00586867;0.00817137
1573142114455;1.43809;2734;0.0148307;0.0313262;0.0207279
1573142116388;1.44552;1533;0.00822100;0.00754964;0.00690082
1573142119655;1.46203;1800;0.0290211;0.0265652;0.0315962
1573142121988;1.48784;2000;0.0231078;0.0257448;0.0170019
1573142126121;1.45610;66;0.000594551;-0.000185490;-0.0412261
1573142128055;1.37959;134;0.000666651;-0.000887036;0.0577070
1573142132321;1.48247;3933;0.0804988;0.100351;0.0654276
1573142141788;1.42782;667;0.00293258;0.000636935;0.00422770
1573142146788;1.45595;2600;0.0278181;0.0396365;0.0229527
1573142150521;1.46231;2066;0.0114434;0.0140754;0.0128209
1573142153521;1.45885;1133;0.00796877;0.00490856;0.0107630
1573142163921;1.41556;200;0.000672756;-0.00120938;0.00128157
1573142167255;1.43448;2200;0.0213009;0.0282789;0.0326749
1573142169788;1.45093;1000;0.0635999;0.0218174;0.0355214
1573142173188;1.60245;2067;0.210589;0.236621;0.235260
1573142175721;1.58431;1266;0.0461556;0.0368941;0.0967452
1573142206055;1.50821;534;0.00315340;0.00236392;-0.000668520
1573142210721;1.48179;1666;0.0947366;0.0814672;0.126097
1573142214855;1.46629;267;0.00151316;0.000246167;-0.0120839
1573142217455;1.44035;1067;0.0337781;0.0314317;0.0796528
1573142219455;1.50600;2000;0.0417612;0.0656514;0.00511540
1573142222521;1.47815;800;0.0104877;0.00247335;0.0197292
1573142227388;1.43913;2133;0.00706079;0.0114399;0.0229370
1573142231255;1.43030;1067;0.0119130;0.00640774;0.0150823
1573142235588;1.41541;1733;0.00292243;0.00231254;0.00722871
1573142238721;1.45820;2066;0.0305182;0.0456024;0.0280725
1573142240788;1.54697;2067;0.0774408;0.0887636;0.0415816
1573142243188;1.69488;2400;0.135142;0.147908;0.0719066
1573142247188;1.58640;400;0.00310919;-0.00193894;0.0295130
1573142251455;1.54571;934;0.00871781;0.00412750;0.00991752
1573142253255;1.52412;400;0.000399203;0.000969410;0.0173373
1573142254921;1.53094;1133;0.00949452;0.00725913;0.0159613
1573142258388;1.50456;1067;0.0222657;0.0123740;0.0297350
1573142263255;1.58816;3934;0.0480771;0.0884920;0.0349048
1573142268121;1.58345;1666;0.0377300;0.0359308;0.0354208
1573142269788;1.57032;467;0.00883808;-0.00120306;0.00477508
1573142272521;1.45142;800;0.166346;0.0413752;0.217329
1573142275188;1.67076;1533;0.491167;0.407151;0.575682
1573142277388;1.82543;1800;0.181378;0.151022;0.107182
1573142279788;1.90721;2133;0.0572454;0.0811791;0.0498496
1573142281455;1.90097;734;0.00956416;0.00546873;0.0297584
1573142284188;1.86825;1000;0.0325819;0.0162522;0.0585839
1573142293655;1.74574;800;0.0282952;0.0133085;0.0279332
1573142295788;1.72343;1000;0.0779406;0.0448185;0.118359
1573142297521;1.71284;600;0.00673539;0.000656009;0.00630851
1573142300521;1.67430;1066;0.0214045;0.0154324;0.0354976
1573142303055;1.69946;2534;0.0191211;0.0251604;0.00278376
1573142304588;1.69362;733;0.00300572;-0.00102651;0.00513558
1573142308121;1.67237;1333;0.00748280;0.00835764;0.0270312
1573142310321;1.65418;133;0.00590992;-0.00261104;-0.0504613
1573142335855;1.79604;1134;0.0181895;0.164445;0.0742017
1573142354055;1.64861;267;0.00281506;-0.000431061;-0.00699257
1573142355855;1.62907;467;0.0131195;-0.00283194;0.0166354
1573142359388;1.84277;3067;0.187325;0.218990;0.153792
1573142362055;1.89460;1800;0.0542941;0.0573465;0.0492741
1573142366721;1.78774;600;0.00356762;0.000918865;0.0204091
1573142373388;1.77809;1867;0.0150575;0.0118625;0.00982520
1573142376188;1.82131;1867;0.0443483;0.0498782;0.0419324
1573142383188;1.94937;3267;0.121402;0.175008;0.0952957
1573142387321;1.89970;1266;0.0170778;0.0135746;0.0278489
1573142391921;1.87458;1466;0.0183574;0.0168556;0.0237713
1573142398588;1.84115;1667;0.0170125;0.0187008;0.0199025
1573142400121;1.85699;1533;0.0157876;0.0158398;0.00378451
1573142407921;1.84433;1733;0.0262564;0.0270951;0.0241779
1573142411921;1.79707;733;0.00223289;0.00273550;0.0310311
1573142415521;1.85843;2933;0.0353454;0.0622230;0.0236959
1573142420255;1.92918;2467;0.0772701;0.107731;0.0710869
1573142425188;1.99967;2133;0.112514;0.132728;0.100208
1573142433521;2.06999;3733;0.0696873;0.160127;0.0381425
1573142438721;1.97162;2466;0.0764935;0.140877;0.134710
1573142441255;2.10326;2534;0.0848190;0.131641;0.0189424
1573142444388;2.21150;3133;0.0646924;0.108232;0.0306174
1573142452655;2.05662;1934;0.0463864;0.0591344;0.0969906
1573142457121;2.07612;1866;0.0596265;0.0635555;0.0541157
1573142460521;2.19464;2733;0.0773626;0.121145;0.0648371
1573142463121;2.21492;1333;0.0540606;0.0429599;0.0634867
1573142466455;2.32076;2134;0.102848;0.133615;0.0989506
1573142469055;2.35122;1467;0.0721780;0.0631173;0.0897736
1573142470921;2.33996;866;0.0157581;0.00563598;0.0314375
1573142472788;2.38346;1333;0.0550677;0.0426996;0.0434797
1573142478655;2.33737;3067;0.0643190;0.0802603;0.0848141
1573142483455;2.44319;3667;0.0540902;0.114471;0.0310825
1573142497455;2.30114;2867;0.130808;0.197202;0.0736166
1573142506188;2.13034;867;0.00543340;0.00258040;0.0137316
1573142510521;2.09939;933;0.00527338;0.00227141;0.0102689
1573142515388;2.08338;1067;0.00575532;0.00360155;0.00999629
1573142520588;2.43273;4400;0.142652;0.352808;0.105105
1573142523921;2.33331;1000;0.00837750;0.00828767;0.0432982
1573142526455;2.40985;2534;0.0598384;0.0765407;0.0423683
1573142528921;2.53781;2466;0.0914600;0.127962;0.0557991
1573142531588;2.56343;1867;0.0264006;0.0315998;0.0242776
1573142533655;1.90943;467;0.0163527;0.0160046;0.537558
1573142535521;2.31434;1600;0.405287;0.395496;0.316393
1573142537788;2.15364;933;0.190574;0.0952897;0.327389
1573142540455;1.92802;400;0.0381975;-0.0183171;0.0772840
1573142542388;2.07237;1067;0.379174;0.218448;0.386602
1573142545321;1.93554;866;0.285462;0.125067;0.183664
1573142546255;1.91801;400;0.0368410;0.0255924;0.130471
1573142548521;1.99916;1866;0.0768744;0.0908165;0.110358
1573142551521;2.21531;2466;0.160399;0.220008;0.119023
1573142553921;2.46314;2400;0.183253;0.247824;0.101360
1573142558788;2.29232;600;0.0450809;0.00454712;0.0236948
