edr.peak_time;edr.peak_dat;edr.rise_time;edr.max_deriv;edr.amplitude;edr.max_deriv2
1573142914646;0.849785;667;0.000736017;0.000178516;0.000928597
1573142933046;0.843553;2600;0.000603409;0.000881076;0.000760793
1573142944512;0.836655;933;0.000606391;0.000247240;0.000533971
1573142987446;0.820533;3200;0.00599919;0.00897211;0.00446377
1573142991246;0.824144;1800;0.00313833;0.00395387;0.00217629
1573142993312;0.830517;2066;0.00395627;0.00637275;0.000627811
1573142995779;0.843030;2467;0.00736802;0.0125133;0.00442791
1573143000846;0.936855;5067;0.0356340;0.0938244;0.0120197
1573143002246;0.954983;1400;0.0193864;0.0181286;0.00363627
1573143006912;0.938546;733;0.000777598;0.000329852;0.00240008
1573143010112;0.943405;1600;0.00979115;0.00949818;0.0124195
1573143013179;0.954276;2733;0.00774780;0.0109323;0.00453060
1573143018512;0.957383;2533;0.00694195;0.00979102;0.00588925
1573143020646;0.964123;2134;0.00580715;0.00674003;0.00382848
1573143026979;0.968139;2200;0.0102436;0.0129637;0.00895994
1573143029646;0.986416;2667;0.0102375;0.0182770;0.00564886
1573143031846;1.00012;2200;0.00962779;0.0137058;0.00246015
1573143034046;1.00961;2200;0.00642170;0.00948954;0.00277771
1573143036979;1.02986;2667;0.0167403;0.0201664;0.0124156
1573143046846;1.09021;5867;0.0302296;0.0818651;0.0123334
1573143055179;1.07461;2800;0.0146249;0.0202326;0.00927911
1573143060046;1.08330;2867;0.0117644;0.0176699;0.0112917
1573143067246;1.06774;2800;0.00439795;0.00668347;0.00393700
1573143072912;1.07229;2933;0.00526287;0.00880682;0.00401117
1573143075112;1.07846;2200;0.00505181;0.00617003;0.00385686
1573143076779;1.07974;1267;0.00177052;0.00131798;0.00115714
1573143079646;1.08949;2334;0.00806738;0.00979745;0.00633677
1573143084646;1.12861;3867;0.0155563;0.0396252;0.00872193
1573143086979;1.12808;1067;0.00817798;0.00454414;0.0107273
1573143091646;1.14897;2667;0.0198498;0.0305606;0.0159071
1573143100779;1.28396;7333;0.0500273;0.136918;0.0243278
1573143106246;1.28504;3267;0.0135351;0.0232192;0.0125526
1573143109046;1.29489;1467;0.0187516;0.0162822;0.0202831
1573143111046;1.30070;1534;0.00640787;0.00584674;0.00546206
1573143116312;1.36912;4866;0.0301037;0.0685010;0.0241146
1573143117846;1.37454;1534;0.00631075;0.00542438;0.00290144
1573143132179;1.36697;3000;0.0322936;0.0578837;0.0194532
1573143137779;1.36767;2400;0.0158661;0.0229576;0.0147099
1573143142846;1.40571;3534;0.0214509;0.0456129;0.0205666
1573143147646;1.39426;2400;0.00628417;0.00628459;0.00672811
1573143150912;1.39328;1666;0.00567169;0.00600386;0.00876699
1573143157246;1.49334;3800;0.0465963;0.104360;0.0334604
1573143170912;1.43864;3133;0.0154581;0.0222856;0.0136682
1573143177112;1.45680;3133;0.0178803;0.0292776;0.0110649
1573143187912;1.51420;6266;0.0253541;0.0760332;0.0142380
1573143192379;1.58974;4467;0.0356090;0.0755402;0.0189100
1573143195179;1.55104;267;1.73652e-05;-0.000596404;0.00661494
1573143204579;1.59986;3467;0.0442379;0.0919490;0.0301421
1573143211112;1.79585;4666;0.0925553;0.205704;0.0528645
1573143212979;1.85695;1867;0.0511686;0.0611089;0.00904166
1573143213912;1.85460;200;0.000361248;-0.000583649;-0.00482474
1573143229779;1.70713;3133;0.0231757;0.0412108;0.0137444
1573143232846;1.76601;3067;0.0348480;0.0588815;0.0187763
1573143249312;1.74319;6400;0.0379330;0.122510;0.0169376
1573143255312;1.68577;133;3.64011e-05;-0.000265360;0.00276496
1573143266912;1.67992;3266;0.0183092;0.0354500;0.0115239
1573143273579;1.70600;4067;0.0253200;0.0472560;0.0153018
1573143276112;1.72109;1933;0.0147756;0.0155635;0.0112094
1573143289779;1.64370;267;0.000238633;-0.000226736;0.000593983
1573143300979;1.61199;1600;0.00312916;0.00274014;0.00316568
1573143305846;1.60348;1200;0.000736223;0.000744820;0.00291020
1573143309779;1.61193;2933;0.00764640;0.0104345;0.00853679
1573143313112;1.60809;1066;0.00300224;0.00164044;0.00387067
1573143326912;1.59082;2733;0.00733041;0.0120870;0.00665286
1573143329179;1.60395;2267;0.00841436;0.0131290;0.00602004
1573143332846;1.68381;3667;0.0424572;0.0798588;0.0191377
1573143336912;1.94897;4066;0.114758;0.265155;0.0676727
1573143339646;2.02498;2734;0.0526724;0.0760082;0.0285653
1573143373179;1.63162;1400;0.00328938;0.00260639;0.00657360
1573143378579;1.64488;1867;0.0169376;0.0229719;0.0140021
1573143378712;1.64715;133;0.0155892;0.00227284;5.03113e-05
1573143380579;1.66997;1867;0.0168174;0.0228168;5.03113e-05
1573143400579;1.59157;667;0.00122871;0.000202417;0.00213103
1573143406446;1.58248;734;0.00143157;0.000749826;0.00164820
1573143411712;1.60224;3933;0.0167200;0.0315037;0.0142994
1573143421446;1.59181;2200;0.0128363;0.0209622;0.0103418
1573143423446;1.60993;2000;0.0130759;0.0181152;0.000801916
1573143428846;1.58482;934;0.000677426;0.000429034;0.00380097
1573143435312;1.66682;5333;0.0310666;0.0828776;0.0233998
1573143453646;1.56814;267;0.000203522;-0.000353098;-0.000688115
1573143457179;1.57174;2267;0.00547196;0.00876212;0.00980076
1573143458646;1.57391;1267;0.00328938;0.00208485;0.00175203
1573143473712;1.52569;600;0.00137035;-0.000108957;0.00237204
1573143500779;1.44909;1467;0.00378127;0.00316894;0.00473141
1573143511046;1.42387;1600;0.000478420;0.000590086;0.00240395
1573143591779;1.23559;3733;0.0157064;0.0311894;0.00968037
1573143600779;1.21587;1000;0.00152471;0.000867724;0.00368060
1573143605579;1.20973;1467;0.000992732;0.000948429;0.00342755
1573143634112;1.29053;5200;0.0416285;0.127485;0.0181750
1573143635912;1.32636;1800;0.0252592;0.0358323;0.00192826
1573143637646;1.35637;1734;0.0256570;0.0300107;0.00960426
1573143642246;1.40065;2334;0.0380602;0.0575372;0.0264426
1573143646779;1.68279;4533;0.108161;0.282144;0.0338643
1573143648712;1.70047;1400;0.0220908;0.0184947;0.0153580
1573143653179;1.69638;1800;0.00960639;0.00930023;0.0137284
1573143654912;1.69029;533;0.000350218;-0.000179648;0.00703783
1573143659046;1.88455;3467;0.0710681;0.196035;0.0632562
1573143662246;1.98172;3200;0.0547701;0.0971644;0.00775909
1573143690579;1.74562;4067;0.0263669;0.0623990;0.0112716
1573143694246;1.87233;3667;0.0687447;0.126710;0.0339421
1573143699179;1.94894;3400;0.0531869;0.0952196;0.0518041
1573143703246;2.11493;2734;0.105973;0.174223;0.0821642
1573143706912;2.21072;3666;0.0481110;0.0957882;0.00599112
1573143708512;2.23117;1600;0.0221369;0.0204546;0.00649924
1573143712712;2.16357;1333;0.00796685;0.00738740;0.0291724
1573143759512;1.77689;1600;0.00446581;0.00425231;0.00374287
1573143766979;1.77220;3400;0.00761445;0.0107576;0.00506190
1573143771446;1.78086;2267;0.00725203;0.00971770;0.00589198
1573143775712;1.78652;1533;0.0185898;0.0211654;0.0213706
1573143778646;1.87038;2934;0.0546532;0.0838515;0.0318042
1573143792646;1.76060;1200;0.0148814;0.00980067;0.0179304
1573143818512;1.64776;1866;0.00592715;0.00665474;0.00570967
